ip,entity,first_limit,first_offset,avg_limit_usage_ratio,avg_sent_ratio,safe_duration_days,avg_time_gap_min,average_time_gap_min,avg_growth_rate,avg_drops_per_day,maximum_safe_volume,max_daily_volume,first_sent_per_ip,recommended_initial_volume,recommended_growth_rate,recommended_drops_per_day,recommended_time_gap_min,recommended_max_safe_volume
192.227.72.167,cmh11,40000,120000,0.5,1.0,0,0.0,0.0,0.0,1.0,20000,20000,20000,4856,0.0093,3,10,12284
192.227.72.168,cmh11,31200,249200,0.16126315789473686,0.9797105263157895,4,179.15657894736842,179.15657894736842,0.47909361581171367,8.68421052631579,100781,100781,4800,4800,-0.0078,9,172,77511
194.54.185.171,cmh15,5701,85515,0.909,0.507375,0,22.00625,22.00625,0.25254858924961326,8.0,43569,43569,5701,5701,-0.0,8,0,0
194.54.185.172,cmh15,5701,85515,0.909,0.92425,0,22.00625,22.00625,0.2528036615512422,8.0,43568,43568,5701,5701,-0.0,8,0,0
194.54.185.173,cmh15,5701,85515,0.909,1.000125,0,22.00625,22.00625,0.2528036615512422,8.0,43568,43568,5701,5701,-0.0,8,0,0
194.54.185.177,cmh15,5701,85515,0.909,0.792125,0,22.00625,22.00625,0.2528036615512422,8.0,43568,43568,5701,5701,-0.0004,8,0,0
194.54.185.178,cmh15,5701,85515,0.909,1.000125,0,22.00625,22.00625,0.2528036615512422,8.0,43568,43568,5701,5701,-0.0,8,0,0
194.54.185.179,cmh15,5701,85515,0.909,1.000125,0,22.00625,22.00625,0.2528036615512422,8.0,43568,43568,5701,5701,-0.0,8,0,0
194.54.185.180,cmh15,5701,85515,0.909,1.0,0,22.00625,22.00625,0.2528036615512422,8.0,43568,43568,5701,5701,-0.0,8,0,0
194.54.185.181,cmh15,5701,85515,0.909,1.0,0,22.00625,22.00625,0.2528036615512422,8.0,43568,43568,5701,5701,-0.0,8,0,0
194.54.185.182,cmh15,5701,85515,0.909,1.0,0,22.00625,22.00625,0.2528036615512422,8.0,43568,43568,5701,5701,-0.0,8,0,0
194.54.185.183,cmh15,5701,85515,0.909,1.0,0,22.00625,22.00625,0.2528036615512422,8.0,43568,43568,5701,5701,-0.0,8,0,0
194.54.185.184,cmh15,5701,85515,0.909,1.0,0,22.00625,22.00625,0.2528036615512422,8.0,43568,43568,5701,5701,-0.0,8,0,0
194.54.185.185,cmh15,5701,85515,0.909,1.0,0,22.00625,22.00625,0.2528036615512422,8.0,43568,43568,5701,5701,-0.0,8,0,0
194.54.185.187,cmh15,5701,85515,0.909,1.0,0,22.00625,22.00625,0.2528036615512422,8.0,43568,43568,5701,5701,-0.0,8,0,0
194.54.185.188,cmh15,5701,85515,0.909,1.0,0,22.00625,22.00625,0.2528036615512422,8.0,43568,43568,5701,5701,-0.0,8,0,0
194.54.185.189,cmh15,5701,85515,0.909,1.0,0,22.00625,22.00625,0.2528036615512422,8.0,43568,43568,5701,5701,-0.0,8,0,0
198.12.123.227,cmh6,12250,0,0.85556,0.39864,1,80.5584,80.5584,0.7210601609746604,13.0,231833,231833,12250,5773,-0.0256,14,164,76369
198.12.123.228,cmh6,12250,0,0.9192,0.7003,0,135.9,135.9,0.7056143256362278,10.0,59704,59704,12250,5809,-0.0013,10,8,20469
198.12.123.229,cmh6,12250,0,0.9192,0.7202999999999999,0,135.9,135.9,0.7056142829844576,10.0,59703,59703,12250,5809,-0.0013,10,8,20469
198.12.123.230,cmh6,12250,0,0.9192,0.8623,0,135.9,135.9,0.7056142829844576,10.0,59703,59703,12250,5809,0.0001,10,8,20469
198.12.123.234,cmh6,12250,0,0.9192,0.9001999999999999,0,135.9,135.9,0.7056142829844576,10.0,59703,59703,12250,5809,0.0001,10,8,20469
198.12.123.235,cmh6,12250,0,0.9192,0.9001999999999999,0,135.9,135.9,0.7056142829844576,10.0,59703,59703,12250,5809,0.0001,10,8,20469
198.12.123.236,cmh6,12250,0,0.9074666666666666,0.6448666666666667,1,135.202,135.202,0.5594657570968664,8.333333333333334,74295,74295,12250,5870,-0.0044,8,164,77018
198.12.123.237,cmh6,12250,0,0.8662592592592593,0.4668148148148148,1,74.59111111111112,74.59111111111112,0.745176332756823,14.407407407407407,326833,326833,12250,5782,-0.0256,14,164,76369
198.12.123.238,cmh6,12250,0,0.9074666666666666,0.7334666666666666,1,135.202,135.202,0.559465726978283,8.333333333333334,74295,74295,12250,5870,-0.0031,8,164,77018
198.12.123.239,cmh6,12250,0,0.85556,0.53032,1,80.5584,80.5584,0.7213670033817772,13.0,231833,231833,12250,5773,-0.0261,14,164,76369
198.12.123.240,cmh6,12250,0,0.9074666666666666,0.6668,1,135.202,135.202,0.5599771895432412,8.333333333333334,74295,74295,12250,5870,-0.0044,8,164,77018
198.12.123.241,cmh6,15500,255000,0.8131333333333333,0.3198666666666667,0,41.79866666666667,41.79866666666667,0.7460410732925682,15.0,231826,231826,11794,5476,-0.0576,15,9,16695
198.12.123.242,cmh6,15000,0,0.884,0.7852,0,126.21199999999999,126.21199999999999,0.26723108992691447,5.0,74294,74294,15000,5859,-0.0021,5,8,20450
198.12.123.243,cmh6,15500,255000,0.8131333333333333,0.7666666666666667,0,41.79866666666667,41.79866666666667,0.7460410732925682,15.0,231826,231826,11794,5476,-0.0565,15,9,16695
198.12.123.244,cmh6,12250,0,0.9074666666666666,0.6668,1,135.202,135.202,0.5599979844116514,8.333333333333334,74294,74294,12250,5870,-0.0044,8,164,77018
198.12.123.245,cmh6,12250,0,0.85556,0.48016,1,80.5584,80.5584,0.7216780602192588,13.0,231826,231826,12250,5773,-0.0256,14,164,76369
198.12.123.246,cmh6,15000,0,0.884,1.0,0,126.21199999999999,126.21199999999999,0.26723108992691447,5.0,74294,74294,15000,5859,-0.0011,5,9,15777
198.12.123.247,cmh6,12250,0,0.85556,0.53412,1,80.5584,80.5584,0.7216480682606451,13.0,231826,231826,12250,5773,-0.0261,14,164,76369
198.12.123.248,cmh6,12250,0,0.9074666666666666,0.7353999999999999,1,135.202,135.202,0.5600315990322247,8.333333333333334,74294,74294,12250,5870,-0.0031,8,164,77018
198.12.123.249,cmh6,15500,255000,0.8131333333333333,1.0000666666666667,0,41.79866666666667,41.79866666666667,0.7460410732925682,15.0,231826,231826,11794,5476,-0.0421,15,9,12021
198.12.123.250,cmh6,12250,0,0.9074666666666666,0.8321333333333333,1,135.202,135.202,0.5600315990322247,8.333333333333334,74294,74294,12250,5870,-0.0023,8,164,77018
198.12.123.251,cmh6,15500,255000,0.8131333333333333,1.0000666666666667,0,41.79866666666667,41.79866666666667,0.7460410732925682,15.0,231826,231826,11794,5476,-0.0421,15,9,12021
198.12.123.252,cmh6,15000,0,0.884,1.0,0,126.21199999999999,126.21199999999999,0.26723108992691447,5.0,74294,74294,15000,5859,-0.0011,5,9,15777
198.12.123.253,cmh6,15500,255000,0.8131333333333333,0.9334,0,41.79866666666667,41.79866666666667,0.7460345812615362,15.0,231825,231825,11794,5476,-0.0421,15,9,16695
198.12.123.254,cmh6,12250,0,0.9074666666666666,0.8496,1,135.202,135.202,0.5600315990322247,8.333333333333334,74294,74294,12250,5870,-0.0018,8,164,77018
217.182.198.9,cmh11,15600,249200,0.328625,1.000075,4,170.19875,170.19875,0.46725773677658466,8.65,100834,100834,4800,4800,-0.0077,9,172,77511
