Target,Model,MAE,RMSE,R2,Rows
initial_volume,RandomForestRegressor,80.40642857142859,264.2202465273999,0.9733235329857838,66
initial_volume,ExtraTreesRegressor,54.02250000000003,196.6958239851937,0.9852161889200439,66
initial_volume,GradientBoostingRegressor,73.07672190350003,270.5430273786959,0.9720315231265213,66
growth_rate,RandomForestRegressor,0.0015643637376971287,0.004783397360344334,-1.2678364782001483,66
growth_rate,ExtraTreesRegressor,0.00017723405038022152,0.0004760720399680199,0.9775361511010862,66
growth_rate,GradientBoostingRegressor,8.662420341285132e-05,0.00021738758403596917,0.9953160927187207,66
max_safe_volume,RandomForestRegressor,585.9017857142859,1305.2679059782267,0.9982923825809789,66
max_safe_volume,ExtraTreesRegressor,253.2885714285712,900.7076492105684,0.9991868719200903,66
max_safe_volume,GradientBoostingRegressor,7.472524786825844,25.375839665992533,0.9999993545953351,66
time_gap_min,RandomForestRegressor,0.06591932234446103,0.17291992849869217,0.9999944079881166,66
time_gap_min,ExtraTreesRegressor,0.08058034798548563,0.23020949591097603,0.9999900888406472,66
time_gap_min,GradientBoostingRegressor,0.022038374042683277,0.07685592160289477,0.9999988953297441,66
drops_per_day,RandomForestRegressor,0.07866607406290115,0.2436914515059017,0.9562774204647907,66
drops_per_day,ExtraTreesRegressor,0.010602295102478137,0.02678467523144375,0.9994718005354437,66
drops_per_day,GradientBoostingRegressor,0.030107594459991813,0.07302770169085493,0.9960735465538271,66
