FK_ID,Date,ID,Sent,R.Sent,Bounce,Total,Data.Interval,Server,Status,Offset,Limit,Server_Tab,Ips
"25633316","04/12 (23:52:19)","134616474","62943","18417","0","62943","(310000 to 372943)","s_cmh6_5940","completed","310000","150000","s_cmh6_5940",",,198.12.123.236,,198.12.123.238,,198.12.123.240,,198.12.123.242,,198.12.123.244,,198.12.123.246,,198.12.123.248,,198.12.123.250,,198.12.123.252,,198.12.123.254,,,"
"25633129","04/12 (23:42:18)","134616188","160000","65656","0","160000","(150000 to 310000)","s_cmh6_5940","completed","150000","160000","s_cmh6_5940",",,198.12.123.227,,198.12.123.237,,198.12.123.239,,198.12.123.241,,198.12.123.243,,198.12.123.245,,198.12.123.247,,198.12.123.249,,198.12.123.251,,198.12.123.253,,,"
"25632442","04/12 (23:20:19)","134615284","150000","75408","0","150000","(0 to 150000)","s_cmh6_5940","completed","0","150000","s_cmh6_5940",",,198.12.123.236,,198.12.123.238,,198.12.123.240,,198.12.123.242,,198.12.123.244,,198.12.123.246,,198.12.123.248,,198.12.123.250,,198.12.123.252,,198.12.123.254,,,"
"25632225","04/12 (23:10:20)","134614934","117943","85566","0","117943","(255000 to 372943)","s_cmh6_5940","completed","255000","155000","s_cmh6_5940",",,198.12.123.227,,198.12.123.237,,198.12.123.239,,198.12.123.241,,198.12.123.243,,198.12.123.245,,198.12.123.247,,198.12.123.249,,198.12.123.251,,198.12.123.253,,,"
"25631944","04/12 (23:01:20)","134614567","12400","12404","0","12400","(49600 to 62000)","s_cmh11_1341","completed","0","86800","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25631944","04/12 (23:01:20)","134614568","24800","24808","0","24800","(62000 to 86800)","s_cmh11_1343","completed","0","86800","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25631944","04/12 (23:01:20)","134614569","24800","24808","0","24800","(0 to 24800)","s_cmh11_1372","completed","0","86800","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25631944","04/12 (23:01:20)","134614570","24800","24805","0","24800","(24800 to 49600)","s_cmh11_1388","completed","0","86800","s_cmh11_1388",",,69.162.64.210,,69.162.64.212,,69.162.64.213,,69.162.64.214,,,"
"25631903","04/12 (22:59:18)","134614490","12000","12006","0","12000","(6412 to 18412)","s_cmh2_6145","completed","6412","12000","s_cmh2_6145",",,51.68.222.162,,51.75.164.228,,51.75.165.100,,51.75.165.108,,,"
"25631668","04/12 (22:47:18)","134614122","6400","6406","0","6400","(12 to 6412)","s_cmh2_6121","completed","12","6400","s_cmh2_6121",",,23.19.114.9,,23.82.139.242,,,"
"25631666","04/12 (22:47:17)","134614118","41100","41101","0","41100","(259700 to 300800)","s_cmh2_6101","completed","259700","41100","s_cmh2_6101",",,107.6.171.227,,107.6.171.228,,107.6.171.230,,,"
