FK_ID,Date,ID,Sent,R.Sent,Bounce,Total,Data.Interval,Server,Status,Offset,Limit,Server_Tab,Ips
"25631520","04/12 (22:42:21)","134613873","255000","65232","0","255000","(0 to 255000)","s_cmh6_5940","completed","0","255000","s_cmh6_5940",",,198.12.123.227,,198.12.123.228,,198.12.123.229,,198.12.123.230,,198.12.123.234,,198.12.123.235,,198.12.123.236,,198.12.123.237,,198.12.123.238,,198.12.123.239,,198.12.123.240,,198.12.123.244,,198.12.123.245,,198.12.123.247,,198.12.123.248,,198.12.123.250,,198.12.123.254,,,"
"25630956","04/12 (22:31:20)","134613160","11290","11292","0","11290","(339060 to 350350)","s_cmh11_1341","completed","293900","83300","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25630956","04/12 (22:31:20)","134613161","22580","22584","0","22580","(316480 to 339060)","s_cmh11_1343","completed","293900","83300","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25630956","04/12 (22:31:20)","134613162","22580","22584","0","22580","(293900 to 316480)","s_cmh11_1372","completed","293900","83300","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25630956","04/12 (22:31:20)","134613163","22593","22600","0","22593","(350350 to 372943)","s_cmh11_1388","completed","293900","83300","s_cmh11_1388",",,69.162.64.210,,69.162.64.212,,69.162.64.213,,69.162.64.214,,,"
"25630433","04/12 (22:10:53)","134612434","102693","79735","0","102693","(270250 to 372943)","s_cmh6_5940","completed","270250","246500","s_cmh6_5940",",,198.12.123.227,,198.12.123.228,,198.12.123.229,,198.12.123.230,,198.12.123.234,,198.12.123.235,,198.12.123.236,,198.12.123.237,,198.12.123.238,,198.12.123.239,,198.12.123.240,,198.12.123.244,,198.12.123.245,,198.12.123.247,,198.12.123.248,,198.12.123.250,,198.12.123.254,,,"
"25629929","04/12 (22:01:20)","134611828","11400","11404","0","11400","(236900 to 248300)","s_cmh11_1341","completed","214100","79800","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25629929","04/12 (22:01:20)","134611829","22800","22806","0","22800","(271100 to 293900)","s_cmh11_1343","completed","214100","79800","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25629929","04/12 (22:01:20)","134611830","22800","22805","0","22800","(248300 to 271100)","s_cmh11_1372","completed","214100","79800","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25629929","04/12 (22:01:20)","134611831","22800","22807","0","22800","(214100 to 236900)","s_cmh11_1388","completed","214100","79800","s_cmh11_1388",",,69.162.64.210,,69.162.64.212,,69.162.64.213,,69.162.64.214,,,"
"25629017","04/12 (21:31:19)","134610511","10900","10902","0","10900","(137800 to 148700)","s_cmh11_1341","completed","137800","76300","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25629017","04/12 (21:31:19)","134610512","21800","21804","0","21800","(170500 to 192300)","s_cmh11_1343","completed","137800","76300","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25629017","04/12 (21:31:19)","134610513","21800","21807","0","21800","(148700 to 170500)","s_cmh11_1372","completed","137800","76300","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25629017","04/12 (21:31:19)","134610514","21800","21804","0","21800","(192300 to 214100)","s_cmh11_1388","completed","137800","76300","s_cmh11_1388",",,69.162.64.210,,69.162.64.212,,69.162.64.213,,69.162.64.214,,,"
"25627970","04/12 (20:59:19)","134609043","10400","10404","0","10400","(106600 to 117000)","s_cmh11_1341","completed","65000","72800","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25627970","04/12 (20:59:19)","134609044","20800","20808","0","20800","(117000 to 137800)","s_cmh11_1343","completed","65000","72800","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25627970","04/12 (20:59:19)","134609045","20800","20808","0","20800","(85800 to 106600)","s_cmh11_1372","completed","65000","72800","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25627970","04/12 (20:59:19)","134609046","20800","20808","0","20800","(65000 to 85800)","s_cmh11_1388","completed","65000","72800","s_cmh11_1388",",,69.162.64.210,,69.162.64.212,,69.162.64.213,,69.162.64.214,,,"
"25625479","04/12 (19:37:19)","134605542","87943","87946","0","87971","(285000 to 372971)","s_cmh9_5698","completed","285000","168000","s_cmh9_5698",",,144.31.117.11,,144.31.117.98,,144.31.117.123,,144.31.117.149,,144.31.138.131,,144.31.139.61,,144.31.139.217,,,"
"25624884","04/12 (19:23:18)","134604672","42000","36270","0","42000","(243000 to 285000)","s_cmh9_5687","completed","243000","42000","s_cmh9_5687",",,91.223.3.150,,91.223.3.186,,91.223.3.187,,91.223.3.189,,91.223.3.194,,91.223.3.195,,91.223.3.196,,91.223.3.197,,91.223.3.198,,91.223.3.199,,91.223.3.200,,91.223.3.204,,91.223.3.208,,91.223.3.209,,,"
"25624696","04/12 (19:16:19)","134604376","33000","33001","0","33000","(210000 to 243000)","s_cmh9_5689","completed","210000","33000","s_cmh9_5689",",,23.231.25.49,,23.231.25.51,,23.231.25.52,,23.231.25.53,,23.231.25.54,,23.231.25.55,,23.231.25.56,,23.231.25.58,,23.231.25.59,,23.231.25.61,,23.231.25.62,,,"
"25624327","04/12 (19:07:19)","134603880","168000","167965","0","168000","(42000 to 210000)","s_cmh9_5698","completed","42000","168000","s_cmh9_5698",",,144.31.117.11,,144.31.117.98,,144.31.117.123,,144.31.117.149,,144.31.138.131,,144.31.139.61,,144.31.139.217,,,"
"25623881","04/12 (18:55:18)","134603258","42000","14259","0","42000","(0 to 42000)","s_cmh9_5687","completed","0","42000","s_cmh9_5687",",,91.223.3.150,,91.223.3.186,,91.223.3.187,,91.223.3.189,,91.223.3.194,,91.223.3.195,,91.223.3.196,,91.223.3.197,,91.223.3.198,,91.223.3.199,,91.223.3.200,,91.223.3.204,,91.223.3.208,,91.223.3.209,,,"
"25623574","04/12 (18:46:19)","134602827","12943","11417","0","12971","(360000 to 372971)","s_cmh9_5689","completed","360000","39000","s_cmh9_5689",",,23.231.25.47,,23.231.25.49,,23.231.25.51,,23.231.25.52,,23.231.25.53,,23.231.25.54,,23.231.25.55,,23.231.25.56,,23.231.25.57,,23.231.25.58,,23.231.25.59,,23.231.25.61,,23.231.25.62,,,"
"25623184","04/12 (18:35:21)","134602255","192000","191996","0","192000","(168000 to 360000)","s_cmh9_5698","completed","168000","192000","s_cmh9_5698",",,144.31.84.7,,144.31.117.11,,144.31.117.98,,144.31.117.123,,144.31.117.149,,144.31.138.131,,144.31.139.61,,144.31.139.217,,,"
"25612962","04/12 (13:55:30)","134587787","42000","21386","0","42000","(42000 to 84000)","s_cmh9_5687","completed","42000","42000","s_cmh9_5687",",,91.223.3.150,,91.223.3.186,,91.223.3.187,,91.223.3.189,,91.223.3.194,,91.223.3.195,,91.223.3.196,,91.223.3.197,,91.223.3.198,,91.223.3.199,,91.223.3.200,,91.223.3.204,,91.223.3.208,,91.223.3.209,,,"
"25612880","04/12 (13:52:12)","134587679","42000","332","0","42000","(0 to 42000)","s_cmh9_5687","completed","0","42000","s_cmh9_5687",",,91.223.3.150,,91.223.3.186,,91.223.3.187,,91.223.3.189,,91.223.3.194,,91.223.3.195,,91.223.3.196,,91.223.3.197,,91.223.3.198,,91.223.3.199,,91.223.3.200,,91.223.3.204,,91.223.3.208,,91.223.3.209,,,"
"25612370","04/12 (13:35:43)","134587003","192000","176872","0","192000","(0 to 192000)","s_cmh9_5698","completed","0","192000","s_cmh9_5698",",,144.31.84.7,,144.31.117.11,,144.31.117.98,,144.31.117.123,,144.31.117.149,,144.31.138.131,,144.31.139.61,,144.31.139.217,,,"
"25612346","04/12 (13:35:16)","134586977","192000","184152","0","192000","(168000 to 360000)","s_cmh9_5698","completed","168000","192000","s_cmh9_5698",",,144.31.84.7,,144.31.117.11,,144.31.117.98,,144.31.117.123,,144.31.117.149,,144.31.138.131,,144.31.139.61,,144.31.139.217,,,"
"25600494","04/12 (04:38:09)","134569575","4800","4804","0","4800","(291270 to 296070)","s_cmh8_3583","completed","291270","4800","s_cmh8_3583",",,142.147.96.125,,,"
"25600289","04/12 (04:32:10)","134569257","4700","0","0","4700","(286570 to 291270)","s_cmh8_3656","completed","286570","4700","s_cmh8_3656",",,5.135.75.181,,,"
"25600159","04/12 (04:23:11)","134569077","168000","167996","0","168000","(168000 to 336000)","s_cmh9_5698","completed","168000","168000","s_cmh9_5698",",,144.31.117.11,,144.31.117.98,,144.31.117.123,,144.31.117.149,,144.31.138.131,,144.31.139.61,,144.31.139.217,,,"
"25600157","04/12 (04:23:09)","134569075","3230","7","0","3230","(283340 to 286570)","s_cmh8_3656","completed","283340","3230","s_cmh8_3656",",,5.135.75.177,,,"
"25600064","04/12 (04:17:09)","134568953","3750","3751","0","3750","(279590 to 283340)","s_cmh8_3656","completed","279590","3750","s_cmh8_3656",",,5.135.75.177,,,"
"25600032","04/12 (04:14:09)","134568890","3260","3261","0","3260","(276330 to 279590)","s_cmh8_3656","completed","276330","3260","s_cmh8_3656",",,5.135.75.177,,,"
"25599924","04/12 (04:09:11)","134568735","14000","14010","0","14000","(270250 to 284250)","s_cmh6_5940","completed","270250","14000","s_cmh6_5940",",,198.12.123.227,,198.12.123.228,,198.12.123.229,,198.12.123.230,,198.12.123.234,,198.12.123.235,,198.12.123.236,,198.12.123.237,,198.12.123.238,,198.12.123.239,,198.12.123.240,,198.12.123.244,,198.12.123.245,,198.12.123.247,,198.12.123.248,,198.12.123.250,,198.12.123.254,,,"
"25599888","04/12 (04:08:09)","134568691","4700","4704","0","4700","(266930 to 271630)","s_cmh8_3583","completed","266930","9400","s_cmh8_3583",",,142.147.96.125,,,"
"25599888","04/12 (04:08:09)","134568692","4700","1644","0","4700","(271630 to 276330)","s_cmh8_3656","completed","266930","9400","s_cmh8_3656",",,5.135.75.179,,,"
"25599715","04/12 (04:02:09)","134568444","4600","0","0","4600","(262330 to 266930)","s_cmh8_3656","completed","262330","4600","s_cmh8_3656",",,5.135.75.181,,,"
"25599676","04/12 (03:56:09)","134568389","3180","841","0","3180","(259150 to 262330)","s_cmh8_3656","completed","259150","3180","s_cmh8_3656",",,5.135.75.178,,,"
"25599605","04/12 (03:48:11)","134568294","168000","167985","0","168000","(0 to 168000)","s_cmh9_5698","completed","0","168000","s_cmh9_5698",",,144.31.117.11,,144.31.117.98,,144.31.117.123,,144.31.117.149,,144.31.138.131,,144.31.139.61,,144.31.139.217,,,"
"25599587","04/12 (03:47:09)","134568253","1850","1852","0","1850","(257300 to 259150)","s_cmh8_3583","completed","255450","3700","s_cmh8_3583",",,142.147.96.125,,,"
"25599587","04/12 (03:47:09)","134568254","1850","1852","0","1850","(255450 to 257300)","s_cmh8_3656","completed","255450","3700","s_cmh8_3656",",,5.135.75.179,,,"
"25599545","04/12 (03:41:09)","134568193","1620","1622","0","1620","(252210 to 253830)","s_cmh8_3583","completed","252210","3240","s_cmh8_3583",",,142.147.96.125,,,"
"25599545","04/12 (03:41:09)","134568194","1620","1622","0","1620","(253830 to 255450)","s_cmh8_3656","completed","252210","3240","s_cmh8_3656",",,5.135.75.179,,,"
"25599523","04/12 (03:38:09)","134568164","4600","4603","0","4600","(247610 to 252210)","s_cmh8_3583","completed","243010","9200","s_cmh8_3583",",,142.147.96.125,,,"
"25599523","04/12 (03:38:09)","134568165","4600","4604","0","4600","(243010 to 247610)","s_cmh8_3656","completed","243010","9200","s_cmh8_3656",",,5.135.75.179,,,"
"25599428","04/12 (03:34:11)","134568026","13750","13759","0","13750","(256500 to 270250)","s_cmh6_5940","completed","256500","13750","s_cmh6_5940",",,198.12.123.227,,198.12.123.228,,198.12.123.229,,198.12.123.230,,198.12.123.234,,198.12.123.235,,198.12.123.236,,198.12.123.237,,198.12.123.238,,198.12.123.239,,198.12.123.240,,198.12.123.244,,198.12.123.245,,198.12.123.247,,198.12.123.248,,198.12.123.250,,198.12.123.254,,,"
"25599341","04/12 (03:32:10)","134567872","4500","0","0","4500","(238510 to 243010)","s_cmh8_3656","completed","238510","4500","s_cmh8_3656",",,5.135.75.181,,,"
"25599235","04/12 (03:27:10)","134567696","94515","84030","0","94515","(186030 to 280545)","s_cmh15_654","completed","186030","94515","s_cmh15_654",",,194.54.185.171,,194.54.185.172,,194.54.185.173,,194.54.185.177,,194.54.185.178,,194.54.185.179,,194.54.185.180,,194.54.185.181,,194.54.185.182,,194.54.185.183,,194.54.185.184,,194.54.185.185,,194.54.185.187,,194.54.185.188,,194.54.185.189,,,"
"25599184","04/12 (03:23:09)","134567634","3130","698","0","3130","(235380 to 238510)","s_cmh8_3617","completed","235380","3130","s_cmh8_3617",",,138.226.244.74,,,"
"25599021","04/12 (03:17:10)","134567439","3650","3652","0","3650","(231730 to 235380)","s_cmh8_3617","completed","231730","3650","s_cmh8_3617",",,138.226.244.74,,,"
"25598974","04/12 (03:14:09)","134567371","3220","3222","0","3220","(228510 to 231730)","s_cmh8_3617","completed","228510","3220","s_cmh8_3617",",,138.226.244.74,,,"
"25598951","04/12 (03:13:11)","134567343","36976","36986","0","36976","(336000 to 372976)","s_cmh9_5698","completed","336000","168000","s_cmh9_5698",",,144.31.117.11,,144.31.117.98,,144.31.117.123,,144.31.117.149,,144.31.138.131,,144.31.139.61,,144.31.139.217,,,"
"25598791","04/12 (03:08:09)","134567099","4500","4504","0","4500","(219510 to 224010)","s_cmh8_3583","completed","219510","9000","s_cmh8_3583",",,142.147.96.125,,,"
"25598791","04/12 (03:08:09)","134567100","4500","4503","0","4500","(224010 to 228510)","s_cmh8_3656","completed","219510","9000","s_cmh8_3656",",,5.135.75.179,,,"
"25598654","04/12 (03:02:12)","134566894","94515","84389","0","94515","(91515 to 186030)","s_cmh15_654","completed","91515","94515","s_cmh15_654",",,194.54.185.171,,194.54.185.172,,194.54.185.173,,194.54.185.177,,194.54.185.178,,194.54.185.179,,194.54.185.180,,194.54.185.181,,194.54.185.182,,194.54.185.183,,194.54.185.184,,194.54.185.185,,194.54.185.187,,194.54.185.188,,194.54.185.189,,,"
"25598653","04/12 (03:02:11)","134566893","4400","0","0","4400","(215110 to 219510)","s_cmh8_3656","completed","215110","4400","s_cmh8_3656",",,5.135.75.181,,,"
"25598603","04/12 (02:58:10)","134566835","13500","13508","0","13500","(243000 to 256500)","s_cmh6_5940","completed","243000","13500","s_cmh6_5940",",,198.12.123.227,,198.12.123.228,,198.12.123.229,,198.12.123.230,,198.12.123.234,,198.12.123.235,,198.12.123.236,,198.12.123.237,,198.12.123.238,,198.12.123.239,,198.12.123.240,,198.12.123.244,,198.12.123.245,,198.12.123.247,,198.12.123.248,,198.12.123.250,,198.12.123.254,,,"
"25598547","04/12 (02:53:09)","134566755","1026","8","0","1026","(213056 to 214082)","s_cmh8_3583","completed","212030","3080","s_cmh8_3583",",,142.147.96.123,,,"
"25598547","04/12 (02:53:09)","134566756","1028","1032","0","1028","(214082 to 215110)","s_cmh8_3617","completed","212030","3080","s_cmh8_3617",",,138.226.244.74,,,"
"25598547","04/12 (02:53:09)","134566757","1026","1028","0","1026","(212030 to 213056)","s_cmh8_3656","completed","212030","3080","s_cmh8_3656",",,5.135.75.177,,,"
"25598411","04/12 (02:47:09)","134566537","1200","552","0","1200","(208430 to 209630)","s_cmh8_3583","completed","208430","3600","s_cmh8_3583",",,142.147.96.123,,,"
"25598411","04/12 (02:47:09)","134566538","1200","1202","0","1200","(210830 to 212030)","s_cmh8_3617","completed","208430","3600","s_cmh8_3617",",,138.226.244.74,,,"
"25598411","04/12 (02:47:09)","134566539","1200","1202","0","1200","(209630 to 210830)","s_cmh8_3656","completed","208430","3600","s_cmh8_3656",",,5.135.75.177,,,"
"25598357","04/12 (02:44:09)","134566455","3200","2220","0","3200","(205230 to 208430)","s_cmh8_3583","completed","198830","9600","s_cmh8_3583",",,142.147.96.123,,,"
"25598357","04/12 (02:44:09)","134566456","3200","3200","0","3200","(202030 to 205230)","s_cmh8_3617","completed","198830","9600","s_cmh8_3617",",,138.226.244.74,,,"
"25598357","04/12 (02:44:09)","134566457","3200","2534","0","3200","(198830 to 202030)","s_cmh8_3656","completed","198830","9600","s_cmh8_3656",",,5.135.75.177,,,"
"25598262","04/12 (02:38:11)","134566339","168000","167976","0","168000","(168000 to 336000)","s_cmh9_5698","completed","168000","168000","s_cmh9_5698",",,144.31.117.11,,144.31.117.98,,144.31.117.123,,144.31.117.149,,144.31.138.131,,144.31.139.61,,144.31.139.217,,,"
"25598260","04/12 (02:38:09)","134566336","4400","4404","0","4400","(194430 to 198830)","s_cmh8_3583","completed","190030","8800","s_cmh8_3583",",,142.147.96.125,,,"
"25598260","04/12 (02:38:09)","134566337","4400","4404","0","4400","(190030 to 194430)","s_cmh8_3656","completed","190030","8800","s_cmh8_3656",",,5.135.75.179,,,"
"25598243","04/12 (02:37:11)","134566311","91515","84214","0","91515","(0 to 91515)","s_cmh15_654","completed","0","91515","s_cmh15_654",",,194.54.185.171,,194.54.185.172,,194.54.185.173,,194.54.185.177,,194.54.185.178,,194.54.185.179,,194.54.185.180,,194.54.185.181,,194.54.185.182,,194.54.185.183,,194.54.185.184,,194.54.185.185,,194.54.185.187,,194.54.185.188,,194.54.185.189,,,"
"25597996","04/12 (02:32:09)","134565962","4300","0","0","4300","(185730 to 190030)","s_cmh8_3656","completed","185730","4300","s_cmh8_3656",",,5.135.75.181,,,"
"25597921","04/12 (02:26:09)","134565866","3030","0","0","3030","(182700 to 185730)","s_cmh8_3656","completed","182700","3030","s_cmh8_3656",",,5.135.75.178,,,"
"25597903","04/12 (02:24:10)","134565842","13250","13260","0","13250","(229750 to 243000)","s_cmh6_5940","completed","229750","13250","s_cmh6_5940",",,198.12.123.227,,198.12.123.228,,198.12.123.229,,198.12.123.230,,198.12.123.234,,198.12.123.235,,198.12.123.236,,198.12.123.237,,198.12.123.238,,198.12.123.239,,198.12.123.240,,198.12.123.244,,198.12.123.245,,198.12.123.247,,198.12.123.248,,198.12.123.250,,198.12.123.254,,,"
"25597810","04/12 (02:18:10)","134565718","1184","1186","0","1184","(181516 to 182700)","s_cmh8_3583","completed","179150","3550","s_cmh8_3583",",,142.147.96.123,,,"
"25597810","04/12 (02:18:10)","134565719","1183","1183","0","1183","(180333 to 181516)","s_cmh8_3617","completed","179150","3550","s_cmh8_3617",",,138.226.244.74,,,"
"25597810","04/12 (02:18:10)","134565720","1183","1183","0","1183","(179150 to 180333)","s_cmh8_3656","completed","179150","3550","s_cmh8_3656",",,5.135.75.177,,,"
"25597714","04/12 (02:14:09)","134565572","3180","3182","0","3180","(172790 to 175970)","s_cmh8_3583","completed","169610","9540","s_cmh8_3583",",,142.147.96.123,,,"
"25597714","04/12 (02:14:09)","134565573","3180","3182","0","3180","(175970 to 179150)","s_cmh8_3617","completed","169610","9540","s_cmh8_3617",",,138.226.244.74,,,"
"25597714","04/12 (02:14:09)","134565574","3180","3182","0","3180","(169610 to 172790)","s_cmh8_3656","completed","169610","9540","s_cmh8_3656",",,5.135.75.177,,,"
"25597665","04/12 (02:12:11)","134565478","24916","24921","0","24916","(348060 to 372976)","s_cmh15_654","completed","348060","91515","s_cmh15_654",",,194.54.185.171,,194.54.185.172,,194.54.185.173,,194.54.185.177,,194.54.185.178,,194.54.185.179,,194.54.185.180,,194.54.185.181,,194.54.185.182,,194.54.185.183,,194.54.185.184,,194.54.185.185,,194.54.185.187,,194.54.185.188,,194.54.185.189,,,"
"25597557","04/12 (02:08:10)","134565337","4300","4301","0","4300","(165310 to 169610)","s_cmh8_3617","completed","165310","4300","s_cmh8_3617",",,138.226.244.76,,,"
"25597449","04/12 (02:03:11)","134565155","168000","168005","0","168000","(0 to 168000)","s_cmh9_5698","completed","0","168000","s_cmh9_5698",",,144.31.117.11,,144.31.117.98,,144.31.117.123,,144.31.117.149,,144.31.138.131,,144.31.139.61,,144.31.139.217,,,"
"25597394","04/12 (02:02:09)","134565077","4200","0","0","4200","(161110 to 165310)","s_cmh8_3656","completed","161110","4200","s_cmh8_3656",",,5.135.75.181,,,"
"25597333","04/12 (01:56:10)","134564986","2980","1","0","2980","(158130 to 161110)","s_cmh8_3617","completed","158130","2980","s_cmh8_3617",",,138.226.244.75,,,"
"25597248","04/12 (01:48:11)","134564856","13000","13009","0","13000","(216750 to 229750)","s_cmh6_5940","completed","216750","13000","s_cmh6_5940",",,198.12.123.227,,198.12.123.228,,198.12.123.229,,198.12.123.230,,198.12.123.234,,198.12.123.235,,198.12.123.236,,198.12.123.237,,198.12.123.238,,198.12.123.239,,198.12.123.240,,198.12.123.244,,198.12.123.245,,198.12.123.247,,198.12.123.248,,198.12.123.250,,198.12.123.254,,,"
"25597247","04/12 (01:48:09)","134564853","1166","1166","0","1166","(155796 to 156962)","s_cmh8_3583","completed","154630","3500","s_cmh8_3583",",,142.147.96.123,,,"
"25597247","04/12 (01:48:09)","134564854","1168","1170","0","1168","(156962 to 158130)","s_cmh8_3617","completed","154630","3500","s_cmh8_3617",",,138.226.244.74,,,"
"25597247","04/12 (01:48:09)","134564855","1166","1166","0","1166","(154630 to 155796)","s_cmh8_3656","completed","154630","3500","s_cmh8_3656",",,5.135.75.177,,,"
"25597223","04/12 (01:47:11)","134564821","88515","83809","0","88515","(259545 to 348060)","s_cmh15_654","completed","259545","88515","s_cmh15_654",",,194.54.185.171,,194.54.185.172,,194.54.185.173,,194.54.185.177,,194.54.185.178,,194.54.185.179,,194.54.185.180,,194.54.185.181,,194.54.185.182,,194.54.185.183,,194.54.185.184,,194.54.185.185,,194.54.185.187,,194.54.185.188,,194.54.185.189,,,"
"25597200","04/12 (01:44:10)","134564793","3160","3161","0","3160","(145150 to 148310)","s_cmh8_3583","completed","145150","9480","s_cmh8_3583",",,142.147.96.123,,,"
"25597200","04/12 (01:44:10)","134564794","3160","3162","0","3160","(151470 to 154630)","s_cmh8_3617","completed","145150","9480","s_cmh8_3617",",,138.226.244.74,,,"
"25597200","04/12 (01:44:10)","134564795","3160","3162","0","3160","(148310 to 151470)","s_cmh8_3656","completed","145150","9480","s_cmh8_3656",",,5.135.75.177,,,"
"25597097","04/12 (01:38:09)","134564653","4200","4204","0","4200","(140950 to 145150)","s_cmh8_3617","completed","140950","4200","s_cmh8_3617",",,138.226.244.76,,,"
"25596825","04/12 (01:32:09)","134564258","4100","0","0","4100","(136850 to 140950)","s_cmh8_3656","completed","136850","4100","s_cmh8_3656",",,5.135.75.181,,,"
"25596761","04/12 (01:28:10)","134564160","31976","31986","0","31976","(341000 to 372976)","s_cmh9_5698","completed","341000","168000","s_cmh9_5698",",,144.31.117.11,,144.31.117.98,,144.31.117.123,,144.31.117.149,,144.31.138.131,,144.31.139.61,,144.31.139.217,,,"
"25596709","04/12 (01:23:10)","134564094","1465","36","0","1465","(135385 to 136850)","s_cmh8_3617","completed","133920","2930","s_cmh8_3617",",,138.226.244.77,,,"
"25596709","04/12 (01:23:10)","134564095","1465","2","0","1465","(133920 to 135385)","s_cmh8_3656","completed","133920","2930","s_cmh8_3656",",,5.135.75.180,,,"
"25596693","04/12 (01:22:11)","134564073","10200","10204","0","10200","(65000 to 75200)","s_cmh11_1341","completed","65000","66300","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25596693","04/12 (01:22:11)","134564074","20400","20408","0","20400","(90500 to 110900)","s_cmh11_1343","completed","65000","66300","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25596693","04/12 (01:22:11)","134564075","20400","20408","0","20400","(110900 to 131300)","s_cmh11_1372","completed","65000","66300","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25596693","04/12 (01:22:11)","134564076","15300","15306","0","15300","(75200 to 90500)","s_cmh11_1388","completed","65000","66300","s_cmh11_1388",",,69.162.64.210,,69.162.64.212,,69.162.64.213,,,"
"25596692","04/12 (01:22:10)","134564072","88515","84690","0","88515","(171030 to 259545)","s_cmh15_654","completed","171030","88515","s_cmh15_654",",,194.54.185.171,,194.54.185.172,,194.54.185.173,,194.54.185.177,,194.54.185.178,,194.54.185.179,,194.54.185.180,,194.54.185.181,,194.54.185.182,,194.54.185.183,,194.54.185.184,,194.54.185.185,,194.54.185.187,,194.54.185.188,,194.54.185.189,,,"
"25596666","04/12 (01:20:10)","134564039","3450","3452","0","3450","(130470 to 133920)","s_cmh8_3617","completed","127020","6900","s_cmh8_3617",",,138.226.244.77,,,"
"25596666","04/12 (01:20:10)","134564040","3450","3451","0","3450","(127020 to 130470)","s_cmh8_3656","completed","127020","6900","s_cmh8_3656",",,5.135.75.180,,,"
