Date,Finished.At,Scheduled.At,Mailer,ID,Sent,R.Sent,SoftBounce,HardBounce,Total,Offer,Isp,Profile,Injected.Seeds,Server(s)
"11/04/2026 (00:47:22),""11/04/2026 (00:48:34)"","""",""y.moghar"",""25555658"",""140000"",""139992"",""0"",""2"",""140000"",""14141414 - test offer [REPORTING] [OPEN] [SD]"",""gmail"",""data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (140000 to 280000)"",""0->1000"",""s_cmh9_5698"""
"11/04/2026 (00:42:50),""11/04/2026 (00:43:00)"","""",""y.moghar"",""25555593"",""42000"",""42024"",""0"",""2"",""42000"",""3301 test offer [REPORTING] [Tech offer] [Tech offer]"",""gmail"",""data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (228512 to 270512)"",""0->1000"",""4 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372 s_cmh11_1388"""
"11/04/2026 (00:15:19),""11/04/2026 (00:15:39)"","""",""y.moghar"",""25554849"",""34800"",""34819"",""0"",""0"",""34800"",""3301 test offer [REPORTING] [Tech offer] [Tech offer]"",""gmail"",""data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (193712 to 228512)"",""0->1000"",""4 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372 s_cmh11_1388"""
"11/04/2026 (00:14:50),""11/04/2026 (00:16:03)"","""",""y.moghar"",""25554839"",""140000"",""139994"",""0"",""8"",""140000"",""14141414 - test offer [REPORTING] [OPEN] [SD]"",""gmail"",""data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (0 to 140000)"",""0->1000"",""s_cmh9_5698"""
"10/04/2026 (23:55:50),""10/04/2026 (23:58:11)"","""",""y.moghar"",""25554127"",""204000"",""104539"",""0"",""4"",""204000"",""5555555 - test offer [REPORTING] [OPEN] [SD]"",""gmail"",""data_CMH6 (Seeds) (CMH_List_Warmup_Centralise) (US) (0 to 204000)"",""0->1000"",""s_cmh6_5940"""
"10/04/2026 (23:51:50),""10/04/2026 (23:52:07)"","""",""y.moghar"",""25554019"",""28000"",""25763"",""0"",""0"",""28000"",""3301 test offer [REPORTING] [Tech offer] [Tech offer]"",""gmail"",""data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (141250 to 169250)"",""0->1000"",""4 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372 s_cmh11_1388"""
"10/04/2026 (23:39:50),""10/04/2026 (23:40:42)"","""",""y.moghar"",""25553767"",""100002"",""99998"",""0"",""0"",""100007"",""14141414 - test offer [REPORTING] [OPEN] [SD]"",""gmail"",""data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (273000 to 373007)"",""0->1000"",""s_cmh9_5698"""
"10/04/2026 (23:30:50),""10/04/2026 (23:33:52)"","""",""y.moghar"",""25553416"",""177502"",""177497"",""0"",""0"",""177502"",""5555555 - test offer [REPORTING] [OPEN] [SD]"",""gmail"",""data_CMH6 (Seeds) (CMH_List_Warmup_Centralise) (US) (195500 to 373002)"",""0->1000"",""s_cmh6_5940"""
"10/04/2026 (23:26:48),""10/04/2026 (23:27:07)"","""",""y.moghar"",""25553334"",""32400"",""31663"",""0"",""0"",""32400"",""3301 test offer [REPORTING] [Tech offer] [Tech offer]"",""gmail"",""data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (108850 to 141250)"",""0->1000"",""4 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372 s_cmh11_1388"""
"10/04/2026 (23:22:49),""10/04/2026 (23:23:38)"","""",""y.moghar"",""25553251"",""106502"",""106500"",""0"",""0"",""106507"",""14141414 - test offer [REPORTING] [OPEN] [SD]"",""gmail"",""data_CMH7 (Seeds) (CMH_List_Warmup_Centralise) (US) (266500 to 373007)"",""0->1000"",""s_cmh7_3174"""
