Date,Finished.At,Scheduled.At,Mailer,ID,Sent,R.Sent,SoftBounce,HardBounce,Total,Offer,Isp,Profile,Injected.Seeds,Server(s)
"13/04/2026 (00:52:19)","13/04/2026 (00:52:50)","","y.moghar","25633316","62943","18417","0","0","62943","5555555 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH6 (Seeds) (CMH_List_Warmup_Centralise) (US) (310000 to 372943)","0->1000","s_cmh6_5940"
"13/04/2026 (00:42:18)","13/04/2026 (00:43:30)","","y.moghar","25633129","160000","65656","0","0","160000","5555555 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH6 (Seeds) (CMH_List_Warmup_Centralise) (US) (150000 to 310000)","0->1000","s_cmh6_5940"
"13/04/2026 (00:20:19)","13/04/2026 (00:21:37)","","y.moghar","25632442","150000","75408","0","0","150000","5555555 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH6 (Seeds) (CMH_List_Warmup_Centralise) (US) (0 to 150000)","0->1000","s_cmh6_5940"
"13/04/2026 (00:10:20)","13/04/2026 (00:11:18)","","y.moghar","25632225","117943","85566","0","0","117943","5555555 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH6 (Seeds) (CMH_List_Warmup_Centralise) (US) (255000 to 372943)","0->1000","s_cmh6_5940"
"13/04/2026 (00:01:20)","13/04/2026 (00:01:42)","","y.moghar","25631944","86800","86825","0","0","86800","3301 test offer [REPORTING] [Tech offer] [Tech offer]","gmail","data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (0 to 86800)","0->1000","4 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372 s_cmh11_1388"
"12/04/2026 (23:59:18)","12/04/2026 (23:59:22)","","y.moghar","25631903","12000","12006","0","0","12000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (6412 to 18412)","0->1000","s_cmh2_6145"
"12/04/2026 (23:47:18)","12/04/2026 (23:51:30)","","y.moghar","25631668","6400","6406","0","0","6400","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (12 to 6412)","0->1000","s_cmh2_6121"
"12/04/2026 (23:47:17)","12/04/2026 (23:47:40)","","y.moghar","25631666","41100","41101","0","0","41100","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (259700 to 300800)","0->1000","s_cmh2_6101"
"12/04/2026 (23:42:21)","12/04/2026 (23:44:36)","","y.moghar","25631520","255000","65232","0","0","255000","5555555 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH6 (Seeds) (CMH_List_Warmup_Centralise) (US) (0 to 255000)","0->1000","s_cmh6_5940"
"12/04/2026 (23:31:20)","12/04/2026 (23:31:40)","","y.moghar","25630956","79043","79060","0","0","79043","3301 test offer [REPORTING] [Tech offer] [Tech offer]","gmail","data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (293900 to 372943)","0->1000","4 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372 s_cmh11_1388"
"12/04/2026 (23:10:53)","12/04/2026 (23:11:41)","","y.moghar","25630433","102693","79735","0","0","102693","5555555 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH6 (Seeds) (CMH_List_Warmup_Centralise) (US) (270250 to 372943)","0->1000","s_cmh6_5940"
"12/04/2026 (23:01:20)","12/04/2026 (23:01:40)","","y.moghar","25629929","79800","79822","0","0","79800","3301 test offer [REPORTING] [Tech offer] [Tech offer]","gmail","data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (214100 to 293900)","0->1000","4 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372 s_cmh11_1388"
"12/04/2026 (22:31:19)","12/04/2026 (22:31:39)","","y.moghar","25629017","76300","76317","0","0","76300","3301 test offer [REPORTING] [Tech offer] [Tech offer]","gmail","data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (137800 to 214100)","0->1000","4 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372 s_cmh11_1388"
