FK_ID,Date,ID,Sent,R.Sent,Bounce,Total,Data.Interval,Server,Status,Offset,Limit,Server_Tab,Ips
"25551009,""04/10 (21:15:08)"",""134499751"",""930"",""934"",""0"",""930"",""(217360 to 218290)"",""s_cmh8_3656"",""completed"",""217360"",""1860"",""s_cmh8_3656"","",,5.135.75.181,,,"""
"25550947,""04/10 (21:12:48)"",""134499653"",""1700"",""1704"",""0"",""1700"",""(307260 to 308960)"",""s_cmh8_3583"",""completed"",""307260"",""5100"",""s_cmh8_3583"","",,142.147.96.125,,,"""
"25550947,""04/10 (21:12:48)"",""134499654"",""1700"",""1704"",""0"",""1700"",""(308960 to 310660)"",""s_cmh8_3617"",""completed"",""307260"",""5100"",""s_cmh8_3617"","",,138.226.244.76,,,"""
"25550947,""04/10 (21:12:48)"",""134499655"",""1700"",""1704"",""0"",""1700"",""(310660 to 312360)"",""s_cmh8_3656"",""completed"",""307260"",""5100"",""s_cmh8_3656"","",,5.135.75.179,,,"""
"25550503,""04/10 (21:02:48)"",""134499040"",""2150"",""2152"",""0"",""2150"",""(305110 to 307260)"",""s_cmh8_3583"",""completed"",""302960"",""4300"",""s_cmh8_3583"","",,142.147.96.126,,,"""
"25550503,""04/10 (21:02:48)"",""134499041"",""2150"",""2152"",""0"",""2150"",""(302960 to 305110)"",""s_cmh8_3656"",""completed"",""302960"",""4300"",""s_cmh8_3656"","",,5.135.75.180,,,"""
"25550339,""04/10 (20:57:48)"",""134498841"",""1800"",""1804"",""0"",""1800"",""(213760 to 215560)"",""s_cmh8_3583"",""completed"",""213760"",""3600"",""s_cmh8_3583"","",,142.147.96.126,,,"""
"25550339,""04/10 (20:57:48)"",""134498842"",""1800"",""1804"",""0"",""1800"",""(215560 to 217360)"",""s_cmh8_3656"",""completed"",""213760"",""3600"",""s_cmh8_3656"","",,5.135.75.181,,,"""
"25550153,""04/10 (20:52:48)"",""134498575"",""2660"",""2661"",""0"",""2660"",""(294980 to 297640)"",""s_cmh8_3583"",""completed"",""294980"",""7980"",""s_cmh8_3583"","",,142.147.96.123,,,"""
"25550153,""04/10 (20:52:48)"",""134498576"",""2660"",""2661"",""0"",""2660"",""(297640 to 300300)"",""s_cmh8_3617"",""completed"",""294980"",""7980"",""s_cmh8_3617"","",,138.226.244.74,,,"""
"25550153,""04/10 (20:52:48)"",""134498577"",""2660"",""2662"",""0"",""2660"",""(300300 to 302960)"",""s_cmh8_3656"",""completed"",""294980"",""7980"",""s_cmh8_3656"","",,5.135.75.177,,,"""
"25549949,""04/10 (20:45:48)"",""134498313"",""920"",""924"",""0"",""920"",""(212840 to 213760)"",""s_cmh8_3583"",""completed"",""211920"",""1840"",""s_cmh8_3583"","",,142.147.96.126,,,"""
"25549949,""04/10 (20:45:48)"",""134498314"",""920"",""924"",""0"",""920"",""(211920 to 212840)"",""s_cmh8_3656"",""completed"",""211920"",""1840"",""s_cmh8_3656"","",,5.135.75.181,,,"""
"25549863,""04/10 (20:42:48)"",""134498208"",""1700"",""1704"",""0"",""1700"",""(293280 to 294980)"",""s_cmh8_3583"",""completed"",""289880"",""5100"",""s_cmh8_3583"","",,142.147.96.125,,,"""
"25549863,""04/10 (20:42:48)"",""134498209"",""1700"",""1704"",""0"",""1700"",""(291580 to 293280)"",""s_cmh8_3617"",""completed"",""289880"",""5100"",""s_cmh8_3617"","",,138.226.244.76,,,"""
"25549863,""04/10 (20:42:48)"",""134498210"",""1700"",""1704"",""0"",""1700"",""(289880 to 291580)"",""s_cmh8_3656"",""completed"",""289880"",""5100"",""s_cmh8_3656"","",,5.135.75.179,,,"""
"25549464,""04/10 (20:32:50)"",""134497651"",""106507"",""106506"",""0"",""106507"",""(266500 to 373007)"",""s_cmh7_3174"",""completed"",""266500"",""266500"",""s_cmh7_3174"","",,50.2.64.19,,50.2.64.20,,50.2.64.21,,50.2.64.22,,50.2.64.23,,50.2.64.24,,50.2.64.25,,50.2.64.26,,50.2.64.27,,50.2.64.28,,50.2.64.29,,50.2.64.30,,50.3.1.22,,,"""
"25549458,""04/10 (20:32:48)"",""134497642"",""2100"",""2102"",""0"",""2100"",""(285680 to 287780)"",""s_cmh8_3583"",""completed"",""285680"",""4200"",""s_cmh8_3583"","",,142.147.96.126,,,"""
"25549458,""04/10 (20:32:48)"",""134497643"",""2100"",""2102"",""0"",""2100"",""(287780 to 289880)"",""s_cmh8_3656"",""completed"",""285680"",""4200"",""s_cmh8_3656"","",,5.135.75.180,,,"""
"25549183,""04/10 (20:25:19)"",""134497277"",""1800"",""1804"",""0"",""1800"",""(210120 to 211920)"",""s_cmh8_3583"",""completed"",""208320"",""3600"",""s_cmh8_3583"","",,142.147.96.126,,,"""
"25549183,""04/10 (20:25:19)"",""134497278"",""1800"",""1804"",""0"",""1800"",""(208320 to 210120)"",""s_cmh8_3656"",""completed"",""208320"",""3600"",""s_cmh8_3656"","",,5.135.75.181,,,"""
"25549131,""04/10 (20:22:48)"",""134497201"",""2640"",""2641"",""0"",""2640"",""(280400 to 283040)"",""s_cmh8_3583"",""completed"",""277760"",""7920"",""s_cmh8_3583"","",,142.147.96.123,,,"""
"25549131,""04/10 (20:22:48)"",""134497202"",""2640"",""2642"",""0"",""2640"",""(283040 to 285680)"",""s_cmh8_3617"",""completed"",""277760"",""7920"",""s_cmh8_3617"","",,138.226.244.74,,,"""
"25549131,""04/10 (20:22:48)"",""134497203"",""2640"",""2642"",""0"",""2640"",""(277760 to 280400)"",""s_cmh8_3656"",""completed"",""277760"",""7920"",""s_cmh8_3656"","",,5.135.75.177,,,"""
"25548932,""04/10 (20:15:10)"",""134496901"",""910"",""913"",""0"",""910"",""(206500 to 207410)"",""s_cmh8_3583"",""completed"",""206500"",""1820"",""s_cmh8_3583"","",,142.147.96.126,,,"""
"25548932,""04/10 (20:15:10)"",""134496902"",""910"",""914"",""0"",""910"",""(207410 to 208320)"",""s_cmh8_3656"",""completed"",""206500"",""1820"",""s_cmh8_3656"","",,5.135.75.181,,,"""
"25548868,""04/10 (20:12:48)"",""134496818"",""1700"",""1704"",""0"",""1700"",""(274360 to 276060)"",""s_cmh8_3583"",""completed"",""272660"",""5100"",""s_cmh8_3583"","",,142.147.96.125,,,"""
"25548868,""04/10 (20:12:48)"",""134496819"",""1700"",""1703"",""0"",""1700"",""(276060 to 277760)"",""s_cmh8_3617"",""completed"",""272660"",""5100"",""s_cmh8_3617"","",,138.226.244.76,,,"""
"25548868,""04/10 (20:12:48)"",""134496820"",""1700"",""1704"",""0"",""1700"",""(272660 to 274360)"",""s_cmh8_3656"",""completed"",""272660"",""5100"",""s_cmh8_3656"","",,5.135.75.179,,,"""
"25548441,""04/10 (20:02:48)"",""134496202"",""2050"",""2052"",""0"",""2050"",""(268560 to 270610)"",""s_cmh8_3583"",""completed"",""268560"",""4100"",""s_cmh8_3583"","",,142.147.96.126,,,"""
