FK_ID,Date,ID,Sent,R.Sent,Bounce,Total,Data.Interval,Server,Status,Offset,Limit,Server_Tab,Ips
"25718932","04/14 (23:58:43)","134738345","6730","0","0","6730","(243336 to 250066)","s_cmh2_6121","completed","243336","6730","s_cmh2_6121",",,23.19.114.9,,23.82.139.242,,,"
"25718931","04/14 (23:58:43)","134738344","30854","48","0","30920","(342000 to 372920)","s_cmh2_6101","completed","342000","80000","s_cmh2_6101",",,107.6.171.226,,107.6.171.227,,107.6.171.228,,107.6.171.229,,107.6.171.230,,,"
"25718854","04/14 (23:55:17)","134738241","6250","0","0","6250","(84000 to 90250)","s_cmh8_3583","completed","71500","18750","s_cmh8_3583",",,142.147.96.124,,,"
"25718854","04/14 (23:55:17)","134738242","6250","0","0","6250","(71500 to 77750)","s_cmh8_3617","completed","71500","18750","s_cmh8_3617",",,138.226.244.75,,,"
"25718854","04/14 (23:55:17)","134738243","6250","0","0","6250","(77750 to 84000)","s_cmh8_3656","completed","71500","18750","s_cmh8_3656",",,5.135.75.178,,,"
"25718692","04/14 (23:48:17)","134738022","6000","6002","0","6000","(53500 to 59500)","s_cmh8_3583","completed","53500","18000","s_cmh8_3583",",,142.147.96.126,,,"
"25718692","04/14 (23:48:17)","134738023","6000","6002","0","6000","(65500 to 71500)","s_cmh8_3617","completed","53500","18000","s_cmh8_3617",",,138.226.244.77,,,"
"25718692","04/14 (23:48:17)","134738024","6000","3","0","6000","(59500 to 65500)","s_cmh8_3656","completed","53500","18000","s_cmh8_3656",",,5.135.75.180,,,"
"25718532","04/14 (23:41:19)","134737790","182000","182000","0","182000","(0 to 182000)","s_cmh9_5687","completed","0","351000","s_cmh9_5687",",,91.223.3.150,,91.223.3.186,,91.223.3.187,,91.223.3.189,,91.223.3.194,,91.223.3.195,,91.223.3.196,,91.223.3.197,,91.223.3.198,,91.223.3.199,,91.223.3.200,,91.223.3.204,,91.223.3.208,,91.223.3.209,,,"
"25718532","04/14 (23:41:19)","134737791","169000","168992","0","169000","(182000 to 351000)","s_cmh9_5689","completed","0","351000","s_cmh9_5689",",,23.231.25.47,,23.231.25.49,,23.231.25.51,,23.231.25.52,,23.231.25.53,,23.231.25.54,,23.231.25.55,,23.231.25.56,,23.231.25.57,,23.231.25.58,,23.231.25.59,,23.231.25.61,,23.231.25.62,,,"
"25718530","04/14 (23:41:17)","134737786","6500","6502","0","6500","(47000 to 53500)","s_cmh8_3583","completed","34000","19500","s_cmh8_3583",",,142.147.96.123,,,"
"25718530","04/14 (23:41:17)","134737787","6500","6500","0","6500","(40500 to 47000)","s_cmh8_3617","completed","34000","19500","s_cmh8_3617",",,138.226.244.74,,,"
"25718530","04/14 (23:41:17)","134737788","6500","6491","0","6500","(34000 to 40500)","s_cmh8_3656","completed","34000","19500","s_cmh8_3656",",,5.135.75.177,,,"
"25718240","04/14 (23:33:17)","134737415","12000","11999","0","12000","(358500 to 370500)","s_cmh11_1341","completed","262500","108000","s_cmh11_1341",",,192.227.72.165,,,"
"25718240","04/14 (23:33:17)","134737416","48000","48004","0","48000","(310500 to 358500)","s_cmh11_1343","completed","262500","108000","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25718240","04/14 (23:33:17)","134737417","48000","48001","0","48000","(262500 to 310500)","s_cmh11_1372","completed","262500","108000","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25718223","04/14 (23:32:51)","134737389","6500","6504","0","6500","(21000 to 27500)","s_cmh8_3583","completed","14500","19500","s_cmh8_3583",",,142.147.96.125,,,"
"25718223","04/14 (23:32:51)","134737390","6500","6504","0","6500","(27500 to 34000)","s_cmh8_3617","completed","14500","19500","s_cmh8_3617",",,138.226.244.76,,,"
"25763706","04/15 (23:45:28)","134801685","20000","19997","0","20000","(200000 to 220000)","s_cmh11_1372","completed","200000","40000","s_cmh11_1372",",,135.125.140.52,,,"
"25763706","04/15 (23:45:28)","134801686","20000","263","0","20000","(220000 to 240000)","s_cmh11_1388","completed","200000","40000","s_cmh11_1388",",,69.162.64.212,,,"
"25763698","04/15 (23:45:07)","134801668","20000","20000","0","20000","(160000 to 180000)","s_cmh11_1372","completed","160000","40000","s_cmh11_1372",",,135.125.140.52,,,"
"25763698","04/15 (23:45:07)","134801669","20000","19996","0","20000","(180000 to 200000)","s_cmh11_1388","completed","160000","40000","s_cmh11_1388",",,69.162.64.212,,,"
"25763603","04/15 (23:41:51)","134801528","20000","19992","0","20000","(120000 to 140000)","s_cmh11_1341","completed","120000","40000","s_cmh11_1341",",,192.227.72.167,,,"
"25763603","04/15 (23:41:51)","134801529","20000","20001","0","20000","(140000 to 160000)","s_cmh11_1343","completed","120000","40000","s_cmh11_1343",",,51.254.12.41,,,"
"25763505","04/15 (23:37:17)","134801363","24000","23507","0","24000","(0 to 24000)","s_cmh11_1341","completed","0","120000","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25763505","04/15 (23:37:17)","134801364","48000","47999","0","48000","(72000 to 120000)","s_cmh11_1343","completed","0","120000","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25763505","04/15 (23:37:17)","134801365","48000","47995","0","48000","(24000 to 72000)","s_cmh11_1372","completed","0","120000","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25763320","04/15 (23:33:16)","134801130","22800","22796","0","22800","(27000 to 49800)","s_cmh6_6009","completed","27000","22800","s_cmh6_6009",",,173.236.32.74,,173.236.32.76,,173.236.32.77,,173.236.32.78,,,"
"25763037","04/15 (23:23:45)","134800748","150000","9268","0","150000","(0 to 150000)","s_cmh2_6101","completed","0","150000","s_cmh2_6101",",,107.6.171.227,,107.6.171.228,,107.6.171.230,,,"
"25761490","04/15 (22:44:16)","134798611","7860","1477","0","7860","(0 to 7860)","s_cmh2_6127","completed","0","7860","s_cmh2_6127",",,51.161.79.217,,158.69.54.111,,,"
"25761448","04/15 (22:43:17)","134798550","24000","23777","0","24000","(336000 to 360000)","s_cmh11_1341","completed","240000","120000","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25761448","04/15 (22:43:17)","134798551","48000","46922","0","48000","(288000 to 336000)","s_cmh11_1343","completed","240000","120000","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25761448","04/15 (22:43:17)","134798552","48000","47151","0","48000","(240000 to 288000)","s_cmh11_1372","completed","240000","120000","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25761395","04/15 (22:42:17)","134798461","5000","4851","0","5000","(292400 to 297400)","s_cmh8_3583","completed","292400","10000","s_cmh8_3583",",,142.147.96.123,,,"
