scenario,day,daily_volume,drops_per_day,volume_per_drop,cumulative_volume,target_cumulative_volume,remaining_to_target,limit,limit_usage_ratio,growth_rate,time_gap_min,estimated_sent_ratio,risk_probability,spf_error_probability,dkim_error_probability,netblock_error_probability,error_probability,risk_zone
safe_strategy,2,735,5,147.0,1435,1000000,998565.0,12000,0.0612,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,3,772,5,154.4,2207,1000000,997793.0,12000,0.0643,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,4,811,5,162.2,3018,1000000,996982.0,12000,0.0676,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,5,852,5,170.4,3870,1000000,996130.0,12000,0.071,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,6,895,5,179.0,4765,1000000,995235.0,12000,0.0746,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,7,940,5,188.0,5705,1000000,994295.0,12000,0.0783,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,8,987,5,197.4,6692,1000000,993308.0,12000,0.0823,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,9,1036,5,207.2,7728,1000000,992272.0,12000,0.0863,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,10,1088,5,217.6,8816,1000000,991184.0,12000,0.0907,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,11,1142,5,228.4,9958,1000000,990042.0,12000,0.0952,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,12,1199,5,239.8,11157,1000000,988843.0,12000,0.0999,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,13,1259,5,251.8,12416,1000000,987584.0,12000,0.1049,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,14,1322,5,264.4,13738,1000000,986262.0,12000,0.1102,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,15,1388,5,277.6,15126,1000000,984874.0,12000,0.1157,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,16,1457,5,291.4,16583,1000000,983417.0,12000,0.1214,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,17,1530,5,306.0,18113,1000000,981887.0,12000,0.1275,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,18,1606,5,321.2,19719,1000000,980281.0,12000,0.1338,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,19,1686,5,337.2,21405,1000000,978595.0,12000,0.1405,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,20,1770,5,354.0,23175,1000000,976825.0,12000,0.1475,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,21,1858,5,371.6,25033,1000000,974967.0,12000,0.1548,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,22,1951,5,390.2,26984,1000000,973016.0,12000,0.1626,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,23,2049,5,409.8,29033,1000000,970967.0,12000,0.1708,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,24,2151,5,430.2,31184,1000000,968816.0,12000,0.1792,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,25,2259,5,451.8,33443,1000000,966557.0,12000,0.1883,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,26,2372,5,474.4,35815,1000000,964185.0,12000,0.1977,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,27,2491,5,498.2,38306,1000000,961694.0,12000,0.2076,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,28,2616,5,523.2,40922,1000000,959078.0,12000,0.218,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,29,2747,5,549.4,43669,1000000,956331.0,12000,0.2289,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,30,2884,5,576.8,46553,1000000,953447.0,12000,0.2403,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,1,1400,8,175.0,1400,1000000,998600.0,8000,0.175,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,2,1680,8,210.0,3080,1000000,996920.0,8000,0.21,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,3,2016,8,252.0,5096,1000000,994904.0,8000,0.252,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,4,2419,8,302.38,7515,1000000,992485.0,8000,0.3024,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,5,2903,8,362.88,10418,1000000,989582.0,8000,0.3629,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,6,3484,8,435.5,13902,1000000,986098.0,8000,0.4355,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,7,4181,8,522.62,18083,1000000,981917.0,8000,0.5226,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,8,5017,8,627.12,23100,1000000,976900.0,8000,0.6271,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,9,6020,8,752.5,29120,1000000,970880.0,8000,0.7525,0.2,30,0.98,0.2022,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,10,7224,8,903.0,36344,1000000,963656.0,8000,0.903,0.2,30,0.9682,0.3377,0.0,0.0,0.0,0.0,Risk
aggressive_strategy,11,8669,8,1083.62,45013,1000000,954987.0,8000,1.0836,0.2,30,0.8598,0.5003,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,12,10403,8,1300.38,55416,1000000,944584.0,8000,1.3004,0.2,30,0.7298,0.6953,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,13,12484,8,1560.5,67900,1000000,932100.0,8000,1.5605,0.2,30,0.5737,0.9295,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,14,14981,8,1872.62,82881,1000000,917119.0,8000,1.8726,0.2,30,0.3864,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,15,17977,8,2247.12,100858,1000000,899142.0,8000,2.2471,0.2,30,0.1617,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,16,21572,8,2696.5,122430,1000000,877570.0,8000,2.6965,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,17,25886,8,3235.75,148316,1000000,851684.0,8000,3.2357,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,18,31063,8,3882.88,179379,1000000,820621.0,8000,3.8829,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,19,37276,8,4659.5,216655,1000000,783345.0,8000,4.6595,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,20,44731,8,5591.38,261386,1000000,738614.0,8000,5.5914,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,21,53677,8,6709.62,315063,1000000,684937.0,8000,6.7096,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,22,64412,8,8051.5,379475,1000000,620525.0,8000,8.0515,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,23,77294,8,9661.75,456769,1000000,543231.0,8000,9.6617,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,24,92753,8,11594.12,549522,1000000,450478.0,8000,11.5941,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,25,111304,8,13913.0,660826,1000000,339174.0,8000,13.913,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,26,133565,8,16695.62,794391,1000000,205609.0,8000,16.6956,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,27,160278,8,20034.75,954669,1000000,45331.0,8000,20.0347,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,28,192334,8,24041.75,1147003,1000000,0.0,8000,24.0418,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,29,230801,8,28850.12,1377804,1000000,0.0,8000,28.8501,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,30,276961,8,34620.12,1654765,1000000,0.0,8000,34.6201,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
