Model,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Safe,Recall_Safe,F1_Safe,Precision_Risk,Recall_Risk,F1_Risk,Precision_Dangerous,Recall_Dangerous,F1_Dangerous
GradientBoostingClassifier,0.9726495726495726,0.9792710944026733,0.9757801791338377,0.9774058175176275,0.9586466165413534,0.9845559845559846,0.9714285714285714,0.9791666666666666,0.9552845528455285,0.9670781893004116,1.0,0.9875,0.9937106918238994
RandomForestClassifier,0.9692307692307692,0.9762232224722848,0.9734102133492378,0.9747971444183069,0.9689922480620154,0.9652509652509652,0.9671179883945842,0.9596774193548387,0.967479674796748,0.9635627530364372,1.0,0.9875,0.9937106918238994
ExtraTreesClassifier,0.9641025641025641,0.9693524096385543,0.9694811972250997,0.9693941845640875,0.96875,0.9575289575289575,0.9631067961165048,0.9518072289156626,0.9634146341463414,0.9575757575757575,0.9875,0.9875,0.9875
