ip,date,daily_volume,sent_ratio,risk_label_encoded
173.236.32.76,2026-04-16,43308.0,1.0006666666666666,0.6666666666666666
173.236.32.77,2026-04-15,189000.0,1.0,1.0
173.236.32.77,2026-04-16,43305.0,1.0006666666666666,0.6666666666666666
173.236.32.78,2026-04-15,189000.0,1.0,1.0
173.236.32.78,2026-04-16,5700.0,1.0,1.0
192.227.72.165,2026-04-12,332928.0,1.0,0.0
192.227.72.165,2026-04-13,853974.0,1.0003636363636363,0.09090909090909091
192.227.72.165,2026-04-14,1007810.0,0.9999,0.3
192.227.72.165,2026-04-15,240000.0,0.9942,0.2
192.227.72.165,2026-04-16,590670.0,0.991,0.3333333333333333
192.227.72.167,2026-04-16,20000.0,1.0,0.0
192.227.72.168,2026-04-12,332928.0,1.0,0.0
192.227.72.168,2026-04-13,853974.0,1.0003636363636363,0.09090909090909091
192.227.72.168,2026-04-14,1007810.0,0.9225,0.5
192.227.72.168,2026-04-15,108000.0,1.0,0.0
192.227.72.168,2026-04-16,590670.0,1.0,0.3333333333333333
194.54.185.171,2026-04-12,348552.0,0.507375,1.375
194.54.185.172,2026-04-12,348544.0,0.92425,1.0
194.54.185.173,2026-04-12,348544.0,1.000125,0.875
194.54.185.177,2026-04-12,348544.0,0.792125,1.125
194.54.185.178,2026-04-12,348544.0,1.000125,0.875
194.54.185.179,2026-04-12,348544.0,1.000125,0.875
194.54.185.180,2026-04-12,348544.0,1.0,0.875
194.54.185.181,2026-04-12,348544.0,1.0,0.875
194.54.185.182,2026-04-12,348544.0,1.0,0.875
194.54.185.183,2026-04-12,348544.0,1.0,0.875
194.54.185.184,2026-04-12,348544.0,1.0,0.875
194.54.185.185,2026-04-12,348544.0,1.0,0.875
194.54.185.187,2026-04-12,348544.0,1.0,0.875
194.54.185.188,2026-04-12,348544.0,1.0,0.875
194.54.185.189,2026-04-12,348544.0,1.0,0.875
198.12.123.227,2026-04-12,597040.0,0.7003,1.2
198.12.123.227,2026-04-13,3477495.0,0.19753333333333334,1.6666666666666667
198.12.123.228,2026-04-12,597040.0,0.7003,1.2
198.12.123.229,2026-04-12,597030.0,0.7202999999999999,1.2
198.12.123.230,2026-04-12,597030.0,0.8623,1.0
198.12.123.234,2026-04-12,597030.0,0.9001999999999999,1.0
198.12.123.235,2026-04-12,597030.0,0.9001999999999999,1.0
198.12.123.236,2026-04-12,597030.0,0.9000999999999999,1.0
198.12.123.236,2026-04-13,371475.0,0.13440000000000002,1.8
198.12.123.237,2026-04-12,597020.0,0.9001999999999999,1.0
198.12.123.237,2026-04-13,5556161.0,0.21188235294117647,1.588235294117647
198.12.123.238,2026-04-12,597020.0,1.0002,0.9
198.12.123.238,2026-04-13,371475.0,0.2,1.8
198.12.123.239,2026-04-12,597010.0,0.9003,1.0
198.12.123.239,2026-04-13,3477495.0,0.2836666666666667,1.6666666666666667
198.12.123.240,2026-04-12,597010.0,0.9001999999999999,1.0
198.12.123.240,2026-04-13,371475.0,0.2,1.8
198.12.123.241,2026-04-13,3477390.0,0.3198666666666667,1.4
198.12.123.242,2026-04-13,371470.0,0.7852,1.0
198.12.123.243,2026-04-13,3477390.0,0.7666666666666667,0.7333333333333333
198.12.123.244,2026-04-12,597010.0,0.9001999999999999,1.0
198.12.123.244,2026-04-13,371470.0,0.2,1.8
198.12.123.245,2026-04-12,597000.0,0.8003,1.1
198.12.123.245,2026-04-13,3477390.0,0.2667333333333333,1.7333333333333334
198.12.123.246,2026-04-13,371470.0,1.0,0.8
198.12.123.247,2026-04-12,596980.0,0.9352,1.0
198.12.123.247,2026-04-13,3477390.0,0.2667333333333333,1.6666666666666667
198.12.123.248,2026-04-12,596970.0,1.0004,0.9
198.12.123.248,2026-04-13,371470.0,0.20540000000000003,1.8
198.12.123.249,2026-04-13,3477390.0,1.0000666666666667,0.6
198.12.123.250,2026-04-12,596970.0,1.0004,0.9
198.12.123.250,2026-04-13,371470.0,0.49559999999999993,1.4
198.12.123.251,2026-04-13,3477390.0,1.0000666666666667,0.6
198.12.123.252,2026-04-13,371470.0,1.0,0.8
198.12.123.253,2026-04-13,3477375.0,0.9334,0.6666666666666666
198.12.123.254,2026-04-12,596970.0,1.0004,0.9
198.12.123.254,2026-04-13,371470.0,0.548,1.4
217.182.198.9,2026-04-12,332928.0,1.0,0.0
217.182.198.9,2026-04-13,853974.0,1.0002727272727272,0.09090909090909091
217.182.198.9,2026-04-14,1008340.0,1.0,0.3
217.182.198.9,2026-04-15,240000.0,1.0,0.2
217.182.198.9,2026-04-16,590670.0,1.0,0.3333333333333333
23.19.114.9,2026-04-12,3200.0,1.001,1.0
23.19.114.9,2026-04-13,53864.0,1.001,1.0
23.19.114.9,2026-04-14,108310.0,0.9934,1.0
23.19.114.9,2026-04-15,350086.0,0.7814545454545455,1.1818181818181819
23.19.114.9,2026-04-16,6000.0,0.0,2.0
23.231.25.47,2026-04-12,996.0,0.0,2.0
23.231.25.47,2026-04-13,596550.0,0.9999,0.3
23.231.25.47,2026-04-14,262026.0,0.977,0.16666666666666666
23.231.25.47,2026-04-15,306120.0,0.8878333333333334,0.5
23.231.25.49,2026-04-12,7992.0,1.0,0.5
23.231.25.49,2026-04-13,596550.0,1.0001,0.2
23.231.25.49,2026-04-14,262026.0,1.0,0.16666666666666666
23.231.25.49,2026-04-15,306120.0,1.0001666666666666,0.3333333333333333
23.231.25.51,2026-04-12,7992.0,1.0,0.5
23.231.25.51,2026-04-13,596550.0,1.0001,0.2
23.231.25.51,2026-04-14,262026.0,1.0,0.16666666666666666
23.231.25.51,2026-04-15,306120.0,1.0001666666666666,0.3333333333333333
23.231.25.52,2026-04-12,7992.0,1.0,0.5
23.231.25.52,2026-04-13,596550.0,1.0001,0.2
23.231.25.52,2026-04-14,262026.0,1.0,0.16666666666666666
23.231.25.52,2026-04-15,306114.0,1.0003333333333333,0.3333333333333333
23.231.25.53,2026-04-12,7992.0,1.0,0.5
23.231.25.53,2026-04-13,596550.0,1.0001,0.2
23.231.25.53,2026-04-14,262020.0,1.0,0.16666666666666666
23.231.25.53,2026-04-15,306114.0,1.0003333333333333,0.3333333333333333
23.231.25.54,2026-04-12,7992.0,1.0,0.5
23.231.25.54,2026-04-13,596550.0,1.0001,0.2
23.231.25.54,2026-04-14,262020.0,1.0,0.16666666666666666
23.231.25.54,2026-04-15,306114.0,1.0003333333333333,0.3333333333333333
23.231.25.55,2026-04-12,7992.0,1.0,0.5
23.231.25.55,2026-04-13,596550.0,1.0,0.2
23.231.25.55,2026-04-14,262020.0,1.0,0.16666666666666666
23.231.25.55,2026-04-15,306108.0,0.9968333333333333,0.3333333333333333
23.231.25.56,2026-04-12,7992.0,1.0,0.5
23.231.25.56,2026-04-13,596550.0,1.0,0.2
23.231.25.56,2026-04-14,262020.0,1.0,0.16666666666666666
23.231.25.56,2026-04-15,306108.0,1.0003333333333333,0.3333333333333333
23.231.25.57,2026-04-12,995.0,0.467,1.0
23.231.25.57,2026-04-13,596550.0,1.0,0.3
23.231.25.57,2026-04-14,262014.0,1.0,0.16666666666666666
23.231.25.57,2026-04-15,306108.0,1.0003333333333333,0.3333333333333333
23.231.25.58,2026-04-12,7990.0,1.0,0.5
23.231.25.58,2026-04-13,596550.0,1.0,0.2
23.231.25.58,2026-04-14,262014.0,1.0,0.16666666666666666
23.231.25.58,2026-04-15,306108.0,1.0003333333333333,0.3333333333333333
23.231.25.59,2026-04-12,7990.0,1.0,0.5
23.231.25.59,2026-04-13,596540.0,1.0,0.2
23.231.25.59,2026-04-14,262014.0,1.0,0.16666666666666666
23.231.25.59,2026-04-15,306108.0,1.0001666666666666,0.3333333333333333
23.231.25.61,2026-04-12,7990.0,1.0,0.5
23.231.25.61,2026-04-13,596530.0,1.0,0.2
23.231.25.61,2026-04-14,262014.0,1.0,0.16666666666666666
23.231.25.61,2026-04-15,306108.0,1.0001666666666666,0.3333333333333333
23.231.25.62,2026-04-12,7990.0,1.0,0.5
23.231.25.62,2026-04-13,596530.0,1.0,0.2
23.231.25.62,2026-04-14,262008.0,1.0,0.16666666666666666
23.231.25.62,2026-04-15,306108.0,1.0001666666666666,0.3333333333333333
23.82.139.242,2026-04-12,3200.0,1.001,1.0
23.82.139.242,2026-04-13,53864.0,1.001,1.0
23.82.139.242,2026-04-14,160164.0,0.9405,1.0
23.82.139.242,2026-04-15,417888.0,0.8130833333333333,1.1666666666666667
23.82.139.242,2026-04-16,24000.0,0.0035,2.0
5.135.75.177,2026-04-12,438295.0,0.9078461538461539,0.46153846153846156
5.135.75.177,2026-04-13,665296.0,0.5081249999999999,1.0
5.135.75.177,2026-04-14,364294.0,0.30042857142857143,1.5714285714285714
5.135.75.177,2026-04-15,13000.0,0.9984999999999999,0.0
5.135.75.178,2026-04-12,47680.0,0.431,1.25
5.135.75.178,2026-04-13,84500.0,0.7996,0.4
