ip,forecast_date,forecast_daily_volume,forecast_sent_ratio,forecast_risk_label_encoded,forecast_cumulative_volume
198.12.123.248,2026-04-17,0,0.0,2.0,291940
198.12.123.248,2026-04-18,0,0.0,2.0,291940
198.12.123.248,2026-04-19,0,0.0,2.0,291940
198.12.123.248,2026-04-20,0,0.0,2.0,291940
198.12.123.249,2026-04-14,3477390,1.0,0.6,3477390
198.12.123.249,2026-04-15,3477390,1.0,0.6,6954780
198.12.123.249,2026-04-16,3477390,1.0,0.6,10432170
198.12.123.249,2026-04-17,3477390,1.0,0.6,13909560
198.12.123.249,2026-04-18,3477390,1.0,0.6,17386950
198.12.123.249,2026-04-19,3477390,1.0,0.6,20864340
198.12.123.249,2026-04-20,3477390,1.0,0.6,24341730
198.12.123.250,2026-04-14,258720,0.243,1.65,258720
198.12.123.250,2026-04-15,33220,0.0,2.0,291940
198.12.123.250,2026-04-16,0,0.0,2.0,291940
198.12.123.250,2026-04-17,0,0.0,2.0,291940
198.12.123.250,2026-04-18,0,0.0,2.0,291940
198.12.123.250,2026-04-19,0,0.0,2.0,291940
198.12.123.250,2026-04-20,0,0.0,2.0,291940
198.12.123.251,2026-04-14,3477390,1.0,0.6,3477390
198.12.123.251,2026-04-15,3477390,1.0,0.6,6954780
198.12.123.251,2026-04-16,3477390,1.0,0.6,10432170
198.12.123.251,2026-04-17,3477390,1.0,0.6,13909560
198.12.123.251,2026-04-18,3477390,1.0,0.6,17386950
198.12.123.251,2026-04-19,3477390,1.0,0.6,20864340
198.12.123.251,2026-04-20,3477390,1.0,0.6,24341730
198.12.123.252,2026-04-14,371470,1.0,0.8,371470
198.12.123.252,2026-04-15,371470,1.0,0.8,742940
198.12.123.252,2026-04-16,371470,1.0,0.8,1114410
198.12.123.252,2026-04-17,371470,1.0,0.8,1485880
198.12.123.252,2026-04-18,371470,1.0,0.8,1857350
198.12.123.252,2026-04-19,371470,1.0,0.8,2228820
198.12.123.252,2026-04-20,371470,1.0,0.8,2600290
198.12.123.253,2026-04-14,3477375,0.933,0.667,3477375
198.12.123.253,2026-04-15,3477375,0.933,0.667,6954750
198.12.123.253,2026-04-16,3477375,0.933,0.667,10432125
198.12.123.253,2026-04-17,3477375,0.933,0.667,13909500
198.12.123.253,2026-04-18,3477375,0.933,0.667,17386875
198.12.123.253,2026-04-19,3477375,0.933,0.667,20864250
198.12.123.253,2026-04-20,3477375,0.933,0.667,24341625
198.12.123.254,2026-04-14,258720,0.322,1.65,258720
198.12.123.254,2026-04-15,33220,0.0,2.0,291940
198.12.123.254,2026-04-16,0,0.0,2.0,291940
198.12.123.254,2026-04-17,0,0.0,2.0,291940
198.12.123.254,2026-04-18,0,0.0,2.0,291940
198.12.123.254,2026-04-19,0,0.0,2.0,291940
198.12.123.254,2026-04-20,0,0.0,2.0,291940
217.182.198.9,2026-04-17,669618,1.0,0.268,669618
217.182.198.9,2026-04-18,734053,1.0,0.352,1403671
217.182.198.9,2026-04-19,798489,1.0,0.435,2202160
217.182.198.9,2026-04-20,862924,1.0,0.518,3065084
217.182.198.9,2026-04-21,927360,1.0,0.602,3992444
217.182.198.9,2026-04-22,991795,1.0,0.685,4984239
217.182.198.9,2026-04-23,1056231,1.0,0.768,6040470
23.19.114.9,2026-04-17,104992,0.505,1.486,104992
23.19.114.9,2026-04-18,105692,0.255,1.736,210684
23.19.114.9,2026-04-19,106392,0.005,1.986,317076
23.19.114.9,2026-04-20,107092,0.0,2.0,424168
23.19.114.9,2026-04-21,107792,0.0,2.0,531960
23.19.114.9,2026-04-22,108492,0.0,2.0,640452
23.19.114.9,2026-04-23,109192,0.0,2.0,749644
23.231.25.47,2026-04-16,393131,1.012,0.242,393131
23.231.25.47,2026-04-17,494839,1.308,0.0,887970
23.231.25.47,2026-04-18,596547,1.5,0.0,1484517
23.231.25.47,2026-04-19,698255,1.5,0.0,2182772
23.231.25.47,2026-04-20,799963,1.5,0.0,2982735
23.231.25.47,2026-04-21,901671,1.5,0.0,3884406
23.231.25.47,2026-04-22,1003379,1.5,0.0,4887785
23.231.25.49,2026-04-16,392548,1.0,0.244,392548
23.231.25.49,2026-04-17,491924,1.0,0.189,884472
23.231.25.49,2026-04-18,591300,1.0,0.133,1475772
23.231.25.49,2026-04-19,690676,1.0,0.078,2166448
23.231.25.49,2026-04-20,790052,1.0,0.022,2956500
23.231.25.49,2026-04-21,889428,1.0,0.0,3845928
23.231.25.49,2026-04-22,988804,1.0,0.0,4834732
23.231.25.51,2026-04-16,392548,1.0,0.244,392548
23.231.25.51,2026-04-17,491924,1.0,0.189,884472
23.231.25.51,2026-04-18,591300,1.0,0.133,1475772
23.231.25.51,2026-04-19,690676,1.0,0.078,2166448
23.231.25.51,2026-04-20,790052,1.0,0.022,2956500
23.231.25.51,2026-04-21,889428,1.0,0.0,3845928
23.231.25.51,2026-04-22,988804,1.0,0.0,4834732
23.231.25.52,2026-04-16,392544,1.0,0.244,392544
23.231.25.52,2026-04-17,491918,1.0,0.189,884462
23.231.25.52,2026-04-18,591292,1.0,0.133,1475754
23.231.25.52,2026-04-19,690666,1.001,0.078,2166420
23.231.25.52,2026-04-20,790040,1.001,0.022,2956460
23.231.25.52,2026-04-21,889414,1.001,0.0,3845874
23.231.25.52,2026-04-22,988788,1.001,0.0,4834662
23.231.25.53,2026-04-16,392543,1.0,0.244,392543
23.231.25.53,2026-04-17,491917,1.0,0.189,884460
23.231.25.53,2026-04-18,591291,1.0,0.133,1475751
23.231.25.53,2026-04-19,690665,1.001,0.078,2166416
23.231.25.53,2026-04-20,790039,1.001,0.022,2956455
23.231.25.53,2026-04-21,889413,1.001,0.0,3845868
23.231.25.53,2026-04-22,988787,1.001,0.0,4834655
23.231.25.54,2026-04-16,392543,1.0,0.244,392543
23.231.25.54,2026-04-17,491917,1.0,0.189,884460
23.231.25.54,2026-04-18,591291,1.0,0.133,1475751
23.231.25.54,2026-04-19,690665,1.001,0.078,2166416
23.231.25.54,2026-04-20,790039,1.001,0.022,2956455
23.231.25.54,2026-04-21,889413,1.001,0.0,3845868
23.231.25.54,2026-04-22,988787,1.001,0.0,4834655
23.231.25.55,2026-04-16,392540,0.998,0.244,392540
23.231.25.55,2026-04-17,491912,0.997,0.189,884452
23.231.25.55,2026-04-18,591284,0.996,0.133,1475736
23.231.25.55,2026-04-19,690656,0.995,0.078,2166392
23.231.25.55,2026-04-20,790028,0.994,0.022,2956420
23.231.25.55,2026-04-21,889400,0.993,0.0,3845820
23.231.25.55,2026-04-22,988772,0.992,0.0,4834592
23.231.25.56,2026-04-16,392540,1.0,0.244,392540
23.231.25.56,2026-04-17,491912,1.0,0.189,884452
23.231.25.56,2026-04-18,591284,1.0,0.133,1475736
23.231.25.56,2026-04-19,690656,1.001,0.078,2166392
23.231.25.56,2026-04-20,790028,1.001,0.022,2956420
23.231.25.56,2026-04-21,889400,1.001,0.0,3845820
23.231.25.56,2026-04-22,988772,1.001,0.0,4834592
23.231.25.57,2026-04-16,393121,1.045,0.228,393121
23.231.25.57,2026-04-17,494825,1.222,0.006,887946
23.231.25.57,2026-04-18,596530,1.4,0.0,1484476
23.231.25.57,2026-04-19,698234,1.5,0.0,2182710
23.231.25.57,2026-04-20,799938,1.5,0.0,2982648
23.231.25.57,2026-04-21,901643,1.5,0.0,3884291
23.231.25.57,2026-04-22,1003347,1.5,0.0,4887638
23.231.25.58,2026-04-16,392538,1.0,0.244,392538
23.231.25.58,2026-04-17,491911,1.0,0.189,884449
23.231.25.58,2026-04-18,591284,1.0,0.133,1475733
23.231.25.58,2026-04-19,690656,1.001,0.078,2166389
23.231.25.58,2026-04-20,790029,1.001,0.022,2956418
23.231.25.58,2026-04-21,889402,1.001,0.0,3845820
23.231.25.58,2026-04-22,988774,1.001,0.0,4834594
23.231.25.59,2026-04-16,392536,1.0,0.244,392536
23.231.25.59,2026-04-17,491908,1.0,0.189,884444
23.231.25.59,2026-04-18,591281,1.0,0.133,1475725
23.231.25.59,2026-04-19,690654,1.0,0.078,2166379
23.231.25.59,2026-04-20,790026,1.0,0.022,2956405
23.231.25.59,2026-04-21,889399,1.0,0.0,3845804
23.231.25.59,2026-04-22,988772,1.0,0.0,4834576
23.231.25.61,2026-04-16,392533,1.0,0.244,392533
23.231.25.61,2026-04-17,491906,1.0,0.189,884439
23.231.25.61,2026-04-18,591278,1.0,0.133,1475717
23.231.25.61,2026-04-19,690651,1.0,0.078,2166368
23.231.25.61,2026-04-20,790024,1.0,0.022,2956392
23.231.25.61,2026-04-21,889396,1.0,0.0,3845788
23.231.25.61,2026-04-22,988769,1.0,0.0,4834557
23.231.25.62,2026-04-16,392532,1.0,0.244,392532
23.231.25.62,2026-04-17,491904,1.0,0.189,884436
23.231.25.62,2026-04-18,591277,1.0,0.133,1475713
23.231.25.62,2026-04-19,690650,1.0,0.078,2166363
23.231.25.62,2026-04-20,790022,1.0,0.022,2956385
23.231.25.62,2026-04-21,889395,1.0,0.0,3845780
23.231.25.62,2026-04-22,988768,1.0,0.0,4834548
23.82.139.242,2026-04-17,137023,0.502,1.483,137023
23.82.139.242,2026-04-18,142223,0.253,1.733,279246
23.82.139.242,2026-04-19,147423,0.004,1.983,426669
23.82.139.242,2026-04-20,152623,0.0,2.0,579292
23.82.139.242,2026-04-21,157823,0.0,2.0,737115
23.82.139.242,2026-04-22,163023,0.0,2.0,900138
23.82.139.242,2026-04-23,168223,0.0,2.0,1068361
5.135.75.177,2026-04-16,228456,0.709,0.604,228456
5.135.75.177,2026-04-17,86691,0.739,0.451,315147
5.135.75.177,2026-04-18,0,0.769,0.297,315147
5.135.75.177,2026-04-19,0,0.8,0.143,315147
5.135.75.177,2026-04-20,0,0.83,0.0,315147
5.135.75.177,2026-04-21,0,0.86,0.0,315147
5.135.75.177,2026-04-22,0,0.89,0.0,315147
5.135.75.178,2026-04-16,40216,0.328,1.412,40216
5.135.75.178,2026-04-17,28489,0.185,1.662,68705
5.135.75.178,2026-04-18,16762,0.041,1.912,85467
5.135.75.178,2026-04-19,5036,0.0,2.0,90503
5.135.75.178,2026-04-20,0,0.0,2.0,90503
5.135.75.178,2026-04-21,0,0.0,2.0,90503
5.135.75.178,2026-04-22,0,0.0,2.0,90503
5.135.75.179,2026-04-16,110798,0.727,0.657,110798
5.135.75.179,2026-04-17,18455,0.621,0.843,129253
5.135.75.179,2026-04-18,0,0.514,1.028,129253
5.135.75.179,2026-04-19,0,0.408,1.213,129253
5.135.75.179,2026-04-20,0,0.302,1.398,129253
5.135.75.179,2026-04-21,0,0.195,1.583,129253
5.135.75.179,2026-04-22,0,0.089,1.769,129253
5.135.75.180,2026-04-16,206244,0.201,1.647,206244
5.135.75.180,2026-04-17,202691,0.0,2.0,408935
5.135.75.180,2026-04-18,199138,0.0,2.0,608073
5.135.75.180,2026-04-19,195584,0.0,2.0,803657
5.135.75.180,2026-04-20,192031,0.0,2.0,995688
5.135.75.180,2026-04-21,188478,0.0,2.0,1184166
5.135.75.180,2026-04-22,184924,0.0,2.0,1369090
5.135.75.181,2026-04-16,258738,0.0,2.0,258738
5.135.75.181,2026-04-17,161388,0.0,2.0,420126
5.135.75.181,2026-04-18,64038,0.0,2.0,484164
5.135.75.181,2026-04-19,0,0.0,2.0,484164
5.135.75.181,2026-04-20,0,0.0,2.0,484164
5.135.75.181,2026-04-21,0,0.0,2.0,484164
5.135.75.181,2026-04-22,0,0.0,2.0,484164
51.161.79.217,2026-04-17,280848,0.76,1.227,280848
51.161.79.217,2026-04-18,305215,0.666,1.31,586063
51.161.79.217,2026-04-19,329582,0.573,1.394,915645
51.161.79.217,2026-04-20,353949,0.479,1.477,1269594
51.161.79.217,2026-04-21,378316,0.385,1.56,1647910
51.161.79.217,2026-04-22,402683,0.292,1.644,2050593
51.161.79.217,2026-04-23,427050,0.198,1.727,2477643
51.254.12.38,2026-04-17,668524,0.995,0.268,668524
51.254.12.38,2026-04-18,732350,0.995,0.352,1400874
51.254.12.38,2026-04-19,796176,0.995,0.435,2197050
51.254.12.38,2026-04-20,860002,0.995,0.518,3057052
51.254.12.38,2026-04-21,923828,0.995,0.602,3980880
51.254.12.38,2026-04-22,987654,0.995,0.685,4968534
51.254.12.38,2026-04-23,1051480,0.995,0.768,6020014
51.254.12.39,2026-04-17,668516,1.0,0.268,668516
51.254.12.39,2026-04-18,732337,1.0,0.352,1400853
51.254.12.39,2026-04-19,796159,1.0,0.435,2197012
51.254.12.39,2026-04-20,859980,1.0,0.518,3056992
51.254.12.39,2026-04-21,923802,1.0,0.602,3980794
51.254.12.39,2026-04-22,987623,1.0,0.685,4968417
51.254.12.39,2026-04-23,1051445,1.0,0.768,6019862
51.254.12.40,2026-04-17,668516,1.0,0.268,668516
51.254.12.40,2026-04-18,732337,1.0,0.352,1400853
51.254.12.40,2026-04-19,796159,1.0,0.435,2197012
51.254.12.40,2026-04-20,859980,1.0,0.518,3056992
51.254.12.40,2026-04-21,923802,1.0,0.602,3980794
51.254.12.40,2026-04-22,987623,1.0,0.685,4968417
51.254.12.40,2026-04-23,1051445,1.0,0.768,6019862
51.254.12.41,2026-04-17,775633,1.0,0.311,775633
51.254.12.41,2026-04-18,898966,1.0,0.418,1674599
51.254.12.41,2026-04-19,1022298,1.0,0.525,2696897
51.254.12.41,2026-04-20,1145631,1.0,0.632,3842528
51.254.12.41,2026-04-21,1268964,1.0,0.74,5111492
51.254.12.41,2026-04-22,1392297,1.0,0.847,6503789
51.254.12.41,2026-04-23,1515629,1.0,0.954,8019418
51.68.222.162,2026-04-17,247806,0.714,1.542,247806
51.68.222.162,2026-04-18,263931,0.586,1.792,511737
51.68.222.162,2026-04-19,280056,0.458,2.0,791793
51.68.222.162,2026-04-20,296181,0.33,2.0,1087974
51.68.222.162,2026-04-21,312306,0.203,2.0,1400280
51.68.222.162,2026-04-22,328431,0.075,2.0,1728711
51.68.222.162,2026-04-23,344556,0.0,2.0,2073267
51.75.164.228,2026-04-17,247803,0.96,1.031,247803
51.75.164.228,2026-04-18,263928,0.954,1.031,511731
51.75.164.228,2026-04-19,280053,0.948,1.031,791784
51.75.164.228,2026-04-20,296178,0.943,1.031,1087962
51.75.164.228,2026-04-21,312303,0.937,1.031,1400265
51.75.164.228,2026-04-22,328428,0.931,1.031,1728693
51.75.164.228,2026-04-23,344553,0.926,1.031,2073246
51.75.165.100,2026-04-13,3000,1.0,1.0,3000
51.75.165.100,2026-04-14,3000,1.0,1.0,6000
51.75.165.100,2026-04-15,3000,1.0,1.0,9000
51.75.165.100,2026-04-16,3000,1.0,1.0,12000
51.75.165.100,2026-04-17,3000,1.0,1.0,15000
51.75.165.100,2026-04-18,3000,1.0,1.0,18000
51.75.165.100,2026-04-19,3000,1.0,1.0,21000
51.75.165.108,2026-04-13,3000,1.0,1.0,3000
51.75.165.108,2026-04-14,3000,1.0,1.0,6000
51.75.165.108,2026-04-15,3000,1.0,1.0,9000
51.75.165.108,2026-04-16,3000,1.0,1.0,12000
51.75.165.108,2026-04-17,3000,1.0,1.0,15000
51.75.165.108,2026-04-18,3000,1.0,1.0,18000
51.75.165.108,2026-04-19,3000,1.0,1.0,21000
69.162.64.210,2026-04-14,0,1.0,0.0,0
69.162.64.210,2026-04-15,0,1.0,0.0,0
69.162.64.210,2026-04-16,0,1.0,0.0,0
69.162.64.210,2026-04-17,0,1.0,0.0,0
69.162.64.210,2026-04-18,0,1.0,0.0,0
69.162.64.210,2026-04-19,0,1.0,0.0,0
69.162.64.210,2026-04-20,0,1.0,0.0,0
69.162.64.212,2026-04-17,20592,0.778,0.675,20592
69.162.64.212,2026-04-18,0,0.655,1.05,20592
69.162.64.212,2026-04-19,0,0.531,1.425,20592
69.162.64.212,2026-04-20,0,0.408,1.8,20592
69.162.64.212,2026-04-21,0,0.284,2.0,20592
69.162.64.212,2026-04-22,0,0.161,2.0,20592
69.162.64.212,2026-04-23,0,0.038,2.0,20592
69.162.64.213,2026-04-14,116274,1.0,0.0,116274
69.162.64.213,2026-04-15,0,1.0,0.0,116274
69.162.64.213,2026-04-16,0,1.0,0.0,116274
69.162.64.213,2026-04-17,0,1.0,0.0,116274
69.162.64.213,2026-04-18,0,1.0,0.0,116274
69.162.64.213,2026-04-19,0,1.0,0.0,116274
69.162.64.213,2026-04-20,0,1.0,0.0,116274
69.162.64.214,2026-04-14,0,1.0,0.0,0
69.162.64.214,2026-04-15,0,1.0,0.0,0
69.162.64.214,2026-04-16,0,1.0,0.0,0
69.162.64.214,2026-04-17,0,1.0,0.0,0
69.162.64.214,2026-04-18,0,1.0,0.0,0
69.162.64.214,2026-04-19,0,1.0,0.0,0
69.162.64.214,2026-04-20,0,1.0,0.0,0
89.116.64.219,2026-04-17,605336,0.713,1.215,605336
89.116.64.219,2026-04-18,465156,0.753,1.215,1070492
89.116.64.219,2026-04-19,324976,0.793,1.215,1395468
89.116.64.219,2026-04-20,184797,0.833,1.215,1580265
89.116.64.219,2026-04-21,44617,0.873,1.215,1624882
89.116.64.219,2026-04-22,0,0.913,1.215,1624882
89.116.64.219,2026-04-23,0,0.953,1.215,1624882
89.116.64.220,2026-04-17,605333,0.718,1.248,605333
89.116.64.220,2026-04-18,465154,0.721,1.296,1070487
89.116.64.220,2026-04-19,324974,0.724,1.343,1395461
89.116.64.220,2026-04-20,184794,0.726,1.391,1580255
89.116.64.220,2026-04-21,44615,0.729,1.438,1624870
89.116.64.220,2026-04-22,0,0.732,1.486,1624870
89.116.64.220,2026-04-23,0,0.735,1.534,1624870
89.116.64.240,2026-04-17,605333,0.794,1.158,605333
89.116.64.240,2026-04-18,465154,0.797,1.205,1070487
89.116.64.240,2026-04-19,324974,0.8,1.253,1395461
89.116.64.240,2026-04-20,184794,0.803,1.301,1580255
89.116.64.240,2026-04-21,44615,0.806,1.348,1624870
89.116.64.240,2026-04-22,0,0.809,1.396,1624870
89.116.64.240,2026-04-23,0,0.812,1.443,1624870
89.117.12.14,2026-04-17,605331,0.838,1.151,605331
89.117.12.14,2026-04-18,465151,0.838,1.198,1070482
89.117.12.14,2026-04-19,324972,0.838,1.246,1395454
89.117.12.14,2026-04-20,184792,0.838,1.294,1580246
89.117.12.14,2026-04-21,44612,0.838,1.341,1624858
89.117.12.14,2026-04-22,0,0.838,1.389,1624858
89.117.12.14,2026-04-23,0,0.838,1.437,1624858
89.117.12.18,2026-04-17,411506,0.869,1.09,411506
89.117.12.18,2026-04-18,271326,0.869,1.137,682832
89.117.12.18,2026-04-19,131146,0.869,1.185,813978
89.117.12.18,2026-04-20,0,0.869,1.233,813978
89.117.12.18,2026-04-21,0,0.869,1.28,813978
89.117.12.18,2026-04-22,0,0.869,1.328,813978
89.117.12.18,2026-04-23,0,0.869,1.375,813978
89.117.12.21,2026-04-17,126483,0.927,1.049,126483
89.117.12.21,2026-04-18,30662,0.927,1.104,157145
89.117.12.21,2026-04-19,0,0.927,1.16,157145
89.117.12.21,2026-04-20,0,0.927,1.215,157145
89.117.12.21,2026-04-21,0,0.927,1.271,157145
89.117.12.21,2026-04-22,0,0.927,1.326,157145
89.117.12.21,2026-04-23,0,0.927,1.382,157145
89.117.12.26,2026-04-17,148644,0.972,0.984,148644
89.117.12.26,2026-04-18,8466,0.972,1.032,157110
89.117.12.26,2026-04-19,0,0.972,1.079,157110
89.117.12.26,2026-04-20,0,0.972,1.127,157110
89.117.12.26,2026-04-21,0,0.972,1.175,157110
89.117.12.26,2026-04-22,0,0.972,1.222,157110
89.117.12.26,2026-04-23,0,0.972,1.27,157110
89.117.12.28,2026-04-17,411506,0.929,1.037,411506
89.117.12.28,2026-04-18,271329,0.929,1.085,682835
89.117.12.28,2026-04-19,131152,0.929,1.132,813987
89.117.12.28,2026-04-20,0,0.929,1.18,813987
89.117.12.28,2026-04-21,0,0.929,1.227,813987
89.117.12.28,2026-04-22,0,0.929,1.275,813987
89.117.12.28,2026-04-23,0,0.929,1.323,813987
89.117.12.45,2026-04-17,126483,1.0,0.958,126483
89.117.12.45,2026-04-18,30665,1.0,1.014,157148
89.117.12.45,2026-04-19,0,1.0,1.069,157148
89.117.12.45,2026-04-20,0,1.0,1.125,157148
89.117.12.45,2026-04-21,0,1.0,1.181,157148
89.117.12.45,2026-04-22,0,1.0,1.236,157148
89.117.12.45,2026-04-23,0,1.0,1.292,157148
89.117.12.48,2026-04-17,153483,1.0,0.958,153483
89.117.12.48,2026-04-18,57665,1.0,1.014,211148
89.117.12.48,2026-04-19,0,1.0,1.069,211148
89.117.12.48,2026-04-20,0,1.0,1.125,211148
89.117.12.48,2026-04-21,0,1.0,1.181,211148
89.117.12.48,2026-04-22,0,1.0,1.236,211148
89.117.12.48,2026-04-23,0,1.0,1.292,211148
89.117.12.8,2026-04-17,168408,0.795,1.2,168408
89.117.12.8,2026-04-18,107280,0.795,1.267,275688
89.117.12.8,2026-04-19,46152,0.795,1.333,321840
89.117.12.8,2026-04-20,0,0.795,1.4,321840
89.117.12.8,2026-04-21,0,0.795,1.467,321840
89.117.12.8,2026-04-22,0,0.795,1.533,321840
89.117.12.8,2026-04-23,0,0.795,1.6,321840
89.117.12.9,2026-04-17,159733,0.874,1.119,159733
89.117.12.9,2026-04-18,63912,0.905,1.175,223645
89.117.12.9,2026-04-19,0,0.936,1.231,223645
89.117.12.9,2026-04-20,0,0.967,1.286,223645
89.117.12.9,2026-04-21,0,0.998,1.342,223645
89.117.12.9,2026-04-22,0,1.029,1.397,223645
89.117.12.9,2026-04-23,0,1.06,1.453,223645
91.223.3.150,2026-04-17,471284,1.033,0.078,471284
91.223.3.150,2026-04-18,460098,1.22,0.0,931382
91.223.3.150,2026-04-19,448913,1.408,0.0,1380295
91.223.3.150,2026-04-20,437727,1.5,0.0,1818022
91.223.3.150,2026-04-21,426542,1.5,0.0,2244564
91.223.3.150,2026-04-22,415356,1.5,0.0,2659920
91.223.3.150,2026-04-23,404171,1.5,0.0,3064091
91.223.3.186,2026-04-17,471281,1.038,0.178,471281
91.223.3.186,2026-04-18,460096,1.225,0.0,931377
91.223.3.186,2026-04-19,448910,1.413,0.0,1380287
91.223.3.186,2026-04-20,437725,1.5,0.0,1818012
91.223.3.186,2026-04-21,426539,1.5,0.0,2244551
91.223.3.186,2026-04-22,415354,1.5,0.0,2659905
91.223.3.186,2026-04-23,404168,1.5,0.0,3064073
91.223.3.187,2026-04-17,471281,1.038,0.078,471281
91.223.3.187,2026-04-18,460096,1.225,0.0,931377
91.223.3.187,2026-04-19,448910,1.413,0.0,1380287
91.223.3.187,2026-04-20,437725,1.5,0.0,1818012
91.223.3.187,2026-04-21,426539,1.5,0.0,2244551
91.223.3.187,2026-04-22,415354,1.5,0.0,2659905
91.223.3.187,2026-04-23,404168,1.5,0.0,3064073
91.223.3.189,2026-04-17,471279,1.037,0.109,471279
91.223.3.189,2026-04-18,460093,1.225,0.0,931372
91.223.3.189,2026-04-19,448908,1.412,0.0,1380280
91.223.3.189,2026-04-20,437722,1.5,0.0,1818002
91.223.3.189,2026-04-21,426537,1.5,0.0,2244539
91.223.3.189,2026-04-22,415351,1.5,0.0,2659890
91.223.3.189,2026-04-23,404166,1.5,0.0,3064056
91.223.3.194,2026-04-17,471279,1.038,0.078,471279
91.223.3.194,2026-04-18,460093,1.225,0.0,931372
91.223.3.194,2026-04-19,448908,1.413,0.0,1380280
91.223.3.194,2026-04-20,437722,1.5,0.0,1818002
91.223.3.194,2026-04-21,426537,1.5,0.0,2244539
91.223.3.194,2026-04-22,415351,1.5,0.0,2659890
91.223.3.194,2026-04-23,404166,1.5,0.0,3064056
91.223.3.195,2026-04-17,471277,1.036,0.211,471277
91.223.3.195,2026-04-18,460091,1.224,0.0,931368
91.223.3.195,2026-04-19,448906,1.411,0.0,1380274
91.223.3.195,2026-04-20,437720,1.5,0.0,1817994
91.223.3.195,2026-04-21,426535,1.5,0.0,2244529
91.223.3.195,2026-04-22,415349,1.5,0.0,2659878
91.223.3.195,2026-04-23,404164,1.5,0.0,3064042
91.223.3.196,2026-04-17,471276,1.036,0.198,471276
91.223.3.196,2026-04-18,460090,1.215,0.0,931366
91.223.3.196,2026-04-19,448904,1.395,0.0,1380270
91.223.3.196,2026-04-20,437719,1.5,0.0,1817989
91.223.3.196,2026-04-21,426534,1.5,0.0,2244523
91.223.3.196,2026-04-22,415348,1.5,0.0,2659871
91.223.3.196,2026-04-23,404162,1.5,0.0,3064033
91.223.3.197,2026-04-17,471276,1.038,0.078,471276
91.223.3.197,2026-04-18,460090,1.225,0.0,931366
91.223.3.197,2026-04-19,448904,1.413,0.0,1380270
91.223.3.197,2026-04-20,437719,1.5,0.0,1817989
91.223.3.197,2026-04-21,426534,1.5,0.0,2244523
91.223.3.197,2026-04-22,415348,1.5,0.0,2659871
91.223.3.197,2026-04-23,404162,1.5,0.0,3064033
91.223.3.198,2026-04-17,471276,1.036,0.118,471276
91.223.3.198,2026-04-18,460090,1.218,0.0,931366
91.223.3.198,2026-04-19,448904,1.4,0.0,1380270
91.223.3.198,2026-04-20,437719,1.5,0.0,1817989
91.223.3.198,2026-04-21,426534,1.5,0.0,2244523
91.223.3.198,2026-04-22,415348,1.5,0.0,2659871
91.223.3.198,2026-04-23,404162,1.5,0.0,3064033
91.223.3.199,2026-04-17,471273,1.016,0.103,471273
91.223.3.199,2026-04-18,460087,1.094,0.0,931360
91.223.3.199,2026-04-19,448902,1.171,0.0,1380262
91.223.3.199,2026-04-20,437716,1.249,0.0,1817978
91.223.3.199,2026-04-21,426530,1.327,0.0,2244508
91.223.3.199,2026-04-22,415344,1.405,0.0,2659852
91.223.3.199,2026-04-23,404159,1.483,0.0,3064011
91.223.3.200,2026-04-17,471273,1.013,0.103,471273
91.223.3.200,2026-04-18,460087,1.075,0.0,931360
91.223.3.200,2026-04-19,448902,1.138,0.0,1380262
91.223.3.200,2026-04-20,437716,1.2,0.0,1817978
91.223.3.200,2026-04-21,426530,1.263,0.0,2244508
91.223.3.200,2026-04-22,415344,1.325,0.0,2659852
91.223.3.200,2026-04-23,404159,1.388,0.0,3064011
91.223.3.204,2026-04-17,471273,1.013,0.134,471273
91.223.3.204,2026-04-18,460087,1.075,0.0,931360
91.223.3.204,2026-04-19,448902,1.138,0.0,1380262
91.223.3.204,2026-04-20,437716,1.2,0.0,1817978
91.223.3.204,2026-04-21,426530,1.263,0.0,2244508
91.223.3.204,2026-04-22,415344,1.325,0.0,2659852
91.223.3.204,2026-04-23,404159,1.388,0.0,3064011
91.223.3.208,2026-04-17,471273,1.013,0.103,471273
91.223.3.208,2026-04-18,460087,1.075,0.0,931360
91.223.3.208,2026-04-19,448902,1.138,0.0,1380262
91.223.3.208,2026-04-20,437716,1.2,0.0,1817978
91.223.3.208,2026-04-21,426530,1.263,0.0,2244508
91.223.3.208,2026-04-22,415344,1.325,0.0,2659852
91.223.3.208,2026-04-23,404159,1.388,0.0,3064011
91.223.3.209,2026-04-17,471272,1.011,0.103,471272
91.223.3.209,2026-04-18,460086,1.067,0.0,931358
91.223.3.209,2026-04-19,448900,1.122,0.0,1380258
91.223.3.209,2026-04-20,437715,1.178,0.0,1817973
91.223.3.209,2026-04-21,426529,1.233,0.0,2244502
91.223.3.209,2026-04-22,415343,1.289,0.0,2659845
91.223.3.209,2026-04-23,404157,1.345,0.0,3064002
