campaign_id,datetime_gride,sent_gride,r_sent_gride,servers_list,nb_servers
25599545.0,2026-04-12 04:41:09,3240.0,3244.0,"['s_cmh8_3583', 's_cmh8_3656']",2
25599587.0,2026-04-12 04:47:09,3700.0,3704.0,"['s_cmh8_3583', 's_cmh8_3656']",2
25599605.0,2026-04-12 04:48:11,168000.0,167985.0,['s_cmh9_5698'],1
25599676.0,2026-04-12 04:56:09,3180.0,841.0,['s_cmh8_3656'],1
25599715.0,2026-04-12 05:02:09,4600.0,0.0,['s_cmh8_3656'],1
25599888.0,2026-04-12 05:08:09,9400.0,6348.0,"['s_cmh8_3583', 's_cmh8_3656']",2
25599924.0,2026-04-12 05:09:11,14000.0,14010.0,['s_cmh6_5940'],1
25600032.0,2026-04-12 05:14:09,3260.0,3261.0,['s_cmh8_3656'],1
25600064.0,2026-04-12 05:17:09,3750.0,3751.0,['s_cmh8_3656'],1
25600157.0,2026-04-12 05:23:09,3230.0,7.0,['s_cmh8_3656'],1
25600159.0,2026-04-12 05:23:11,168000.0,167996.0,['s_cmh9_5698'],1
25600289.0,2026-04-12 05:32:10,4700.0,0.0,['s_cmh8_3656'],1
25600494.0,2026-04-12 05:38:09,4800.0,4804.0,['s_cmh8_3583'],1
25612346.0,2026-04-12 14:35:16,192000.0,184152.0,['s_cmh9_5698'],1
25612370.0,2026-04-12 14:35:43,192000.0,176872.0,['s_cmh9_5698'],1
25612880.0,2026-04-12 14:52:12,42000.0,332.0,['s_cmh9_5687'],1
25612962.0,2026-04-12 14:55:30,42000.0,21386.0,['s_cmh9_5687'],1
25623184.0,2026-04-12 19:35:21,192000.0,191996.0,['s_cmh9_5698'],1
25623574.0,2026-04-12 19:46:19,12943.0,11417.0,['s_cmh9_5689'],1
25623881.0,2026-04-12 19:55:18,42000.0,14259.0,['s_cmh9_5687'],1
25624327.0,2026-04-12 20:07:19,168000.0,167965.0,['s_cmh9_5698'],1
25624696.0,2026-04-12 20:16:19,33000.0,33001.0,['s_cmh9_5689'],1
25624884.0,2026-04-12 20:23:18,42000.0,36270.0,['s_cmh9_5687'],1
25625479.0,2026-04-12 20:37:19,87943.0,87946.0,['s_cmh9_5698'],1
25627970.0,2026-04-12 21:59:19,72800.0,72828.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372', 's_cmh11_1388']",4
25629017.0,2026-04-12 22:31:19,76300.0,76317.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372', 's_cmh11_1388']",4
25629929.0,2026-04-12 23:01:20,79800.0,79822.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372', 's_cmh11_1388']",4
25630433.0,2026-04-12 23:10:53,102693.0,79735.0,['s_cmh6_5940'],1
25630956.0,2026-04-12 23:31:20,79043.0,79060.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372', 's_cmh11_1388']",4
25631520.0,2026-04-12 23:42:21,255000.0,65232.0,['s_cmh6_5940'],1
25631666.0,2026-04-12 23:47:17,41100.0,41101.0,['s_cmh2_6101'],1
25631668.0,2026-04-12 23:47:18,6400.0,6406.0,['s_cmh2_6121'],1
25631903.0,2026-04-12 23:59:18,12000.0,12006.0,['s_cmh2_6145'],1
25631944.0,2026-04-13 00:01:20,86800.0,86825.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372', 's_cmh11_1388']",4
25632225.0,2026-04-13 00:10:20,117943.0,85566.0,['s_cmh6_5940'],1
25632442.0,2026-04-13 00:20:19,150000.0,75408.0,['s_cmh6_5940'],1
25633129.0,2026-04-13 00:42:18,160000.0,65656.0,['s_cmh6_5940'],1
25633316.0,2026-04-13 00:52:19,62943.0,18417.0,['s_cmh6_5940'],1
25633744.0,2026-04-13 01:12:19,165000.0,66249.0,['s_cmh6_5940'],1
25633990.0,2026-04-13 01:22:19,150000.0,56100.0,['s_cmh6_5940'],1
25634522.0,2026-04-13 01:42:20,57943.0,57869.0,['s_cmh6_5940'],1
25635086.0,2026-04-13 02:12:19,175000.0,64750.0,['s_cmh6_5940'],1
25635827.0,2026-04-13 02:42:21,180000.0,64305.0,['s_cmh6_5940'],1
25636363.0,2026-04-13 03:12:20,17943.0,17952.0,['s_cmh6_5940'],1
25636995.0,2026-04-13 03:42:20,190000.0,65694.0,['s_cmh6_5940'],1
25637504.0,2026-04-13 04:12:20,182943.0,65343.0,['s_cmh6_5940'],1
25638111.0,2026-04-13 04:42:20,200000.0,65110.0,['s_cmh6_5940'],1
25638599.0,2026-04-13 05:12:20,172943.0,65940.0,['s_cmh6_5940'],1
25639137.0,2026-04-13 05:42:21,210000.0,65686.0,['s_cmh6_5940'],1
25639592.0,2026-04-13 06:12:20,162943.0,65170.0,['s_cmh6_5940'],1
25642285.0,2026-04-13 09:55:20,102693.0,102433.0,['s_cmh6_5940'],1
25642550.0,2026-04-13 10:09:15,150000.0,115085.0,['s_cmh6_5940'],1
25642719.0,2026-04-13 10:21:13,50000.0,6962.0,['s_cmh6_5940'],1
