ip,server,entity,first_used_at,first_sent_per_ip,first_error,first_limit,first_offset,first_launch_success,safe_duration_days,first_error_day,first_netblock_day,maximum_safe_volume,average_safe_growth_rate,average_time_gap_min
173.236.32.78,s_cmh6_6009,cmh6,2026-04-15 12:44:24,6000,Rate limit SPF,6000,0.0,1,0.0,2026-04-15 12:44:24,,0,0.0,0.0
192.227.72.165,s_cmh11_1341,cmh11,2026-04-12 01:04:22,4800,No error,31200,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007741081804933159,178.21
192.227.72.167,s_cmh11_1341,cmh11,2026-04-16 00:41:51,20000,No error,40000,120000.0,0,0.0,,,20000,0.0,0.0
192.227.72.168,s_cmh11_1341,cmh11,2026-04-12 01:04:22,4800,No error,31200,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007741081804933159,178.21
194.54.185.171,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.172,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.173,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.177,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.178,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.179,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.180,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.181,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.182,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.183,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.184,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.185,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
