datetime_drop,server,ip,limit,outSum,by_ip,totalIps,error_type_from_error
2026-04-17 01:00:00,s_cmh2_6101,107.6.171.226,20500,7318.0,10250,2,Connection closed
2026-04-17 01:00:00,s_cmh2_6101,107.6.171.226,20500,7318.0,10250,2,Rate limit SPF
2026-04-17 01:00:00,s_cmh2_6101,107.6.171.226,20500,7318.0,10250,2,Rate limit DKIM
2026-04-17 01:24:01,s_cmh2_6101,107.6.171.226,21000,38.0,10500,2,Rate limit SPF
2026-04-17 01:24:01,s_cmh2_6101,107.6.171.226,21000,38.0,10500,2,Rate limit DKIM
2026-04-17 01:24:01,s_cmh2_6101,107.6.171.226,21000,38.0,10500,2,Connection closed
2026-04-17 09:56:00,s_cmh2_6101,107.6.171.226,15000,10018.0,5000,3,Connection closed
2026-04-17 09:56:00,s_cmh2_6101,107.6.171.226,15000,10018.0,5000,3,Rate limit SPF
2026-04-17 09:56:00,s_cmh2_6101,107.6.171.226,15000,10018.0,5000,3,Rate limit DKIM
2026-04-17 10:07:00,s_cmh2_6101,107.6.171.226,40000,40057.0,20000,2,Rate limit SPF
2026-04-17 10:07:00,s_cmh2_6101,107.6.171.226,40000,40057.0,20000,2,Rate limit DKIM
2026-04-14 01:03:00,s_cmh2_6101,107.6.171.227,49500,49570.0,16500,3,Other
2026-04-14 02:48:00,s_cmh2_6101,107.6.171.227,63000,47984.0,21000,3,Rate limit SPF
2026-04-14 02:48:00,s_cmh2_6101,107.6.171.227,63000,47984.0,21000,3,Connection closed
2026-04-14 03:23:00,s_cmh2_6101,107.6.171.227,66000,21816.0,22000,3,Connection closed
2026-04-14 03:23:00,s_cmh2_6101,107.6.171.227,66000,21816.0,22000,3,Rate limit SPF
2026-04-15 10:46:01,s_cmh2_6101,107.6.171.227,48000,47998.0,16000,3,Other
2026-04-15 12:46:00,s_cmh2_6101,107.6.171.227,48000,36809.0,16000,3,Rate limit SPF
2026-04-15 12:46:00,s_cmh2_6101,107.6.171.227,48000,36809.0,16000,3,Connection closed
2026-04-15 13:26:01,s_cmh2_6101,107.6.171.227,48000,9380.0,16000,3,Rate limit SPF
2026-04-15 14:06:00,s_cmh2_6101,107.6.171.227,48000,20823.0,16000,3,Connection closed
2026-04-15 14:06:00,s_cmh2_6101,107.6.171.227,48000,20823.0,16000,3,Rate limit SPF
2026-04-15 14:46:01,s_cmh2_6101,107.6.171.227,33000,11022.0,11000,3,Rate limit SPF
2026-04-15 14:46:01,s_cmh2_6101,107.6.171.227,33000,11022.0,11000,3,Connection closed
2026-04-15 15:26:00,s_cmh2_6101,107.6.171.227,33000,11018.0,11000,3,Connection closed
2026-04-15 15:26:00,s_cmh2_6101,107.6.171.227,33000,11018.0,11000,3,Rate limit SPF
2026-04-15 16:06:00,s_cmh2_6101,107.6.171.227,33000,11272.0,11000,3,Rate limit SPF
2026-04-15 16:06:00,s_cmh2_6101,107.6.171.227,33000,11272.0,11000,3,Connection closed
2026-04-15 23:39:01,s_cmh2_6101,107.6.171.227,0,205686.0,0,3,Connection closed
2026-04-16 12:24:00,s_cmh2_6101,107.6.171.227,11000,64413.0,3667,3,Connection closed
2026-04-16 12:24:00,s_cmh2_6101,107.6.171.227,11000,64413.0,3667,3,Rate limit SPF
2026-04-16 12:59:00,s_cmh2_6101,107.6.171.227,11000,58146.0,3667,3,Rate limit SPF
2026-04-16 12:59:00,s_cmh2_6101,107.6.171.227,11000,58146.0,3667,3,Connection closed
2026-04-16 13:34:00,s_cmh2_6101,107.6.171.227,11000,38877.0,3667,3,Rate limit SPF
2026-04-16 13:34:00,s_cmh2_6101,107.6.171.227,11000,38877.0,3667,3,Connection closed
2026-04-16 14:09:00,s_cmh2_6101,107.6.171.227,11000,32116.0,3667,3,Connection closed
2026-04-16 14:09:00,s_cmh2_6101,107.6.171.227,11000,32116.0,3667,3,Rate limit SPF
2026-04-16 14:44:00,s_cmh2_6101,107.6.171.227,11000,39069.0,3667,3,Connection closed
2026-04-16 14:44:00,s_cmh2_6101,107.6.171.227,11000,39069.0,3667,3,Rate limit SPF
2026-04-16 14:44:00,s_cmh2_6101,107.6.171.227,11000,39069.0,3667,3,Connection closed
2026-04-16 14:44:00,s_cmh2_6101,107.6.171.227,11000,39069.0,3667,3,Rate limit SPF
2026-04-13 23:53:00,s_cmh2_6101,107.6.171.228,46500,46497.0,15500,3,Other
2026-04-14 01:03:00,s_cmh2_6101,107.6.171.228,49500,49570.0,16500,3,Other
2026-04-14 03:23:00,s_cmh2_6101,107.6.171.228,66000,21816.0,22000,3,Rate limit SPF
2026-04-14 03:23:00,s_cmh2_6101,107.6.171.228,66000,21816.0,22000,3,Connection closed
2026-04-15 10:46:01,s_cmh2_6101,107.6.171.228,48000,47998.0,16000,3,Other
2026-04-15 14:06:00,s_cmh2_6101,107.6.171.228,48000,20823.0,16000,3,Rate limit SPF
2026-04-15 14:06:00,s_cmh2_6101,107.6.171.228,48000,20823.0,16000,3,Connection closed
2026-04-15 14:46:01,s_cmh2_6101,107.6.171.228,33000,11022.0,11000,3,Connection closed
2026-04-15 14:46:01,s_cmh2_6101,107.6.171.228,33000,11022.0,11000,3,Rate limit SPF
2026-04-15 15:26:00,s_cmh2_6101,107.6.171.228,33000,11018.0,11000,3,Rate limit SPF
2026-04-15 15:26:00,s_cmh2_6101,107.6.171.228,33000,11018.0,11000,3,Connection closed
2026-04-15 16:06:00,s_cmh2_6101,107.6.171.228,33000,11272.0,11000,3,Connection closed
2026-04-15 16:06:00,s_cmh2_6101,107.6.171.228,33000,11272.0,11000,3,Rate limit SPF
2026-04-15 23:39:01,s_cmh2_6101,107.6.171.228,0,205686.0,0,3,Connection closed
2026-04-16 12:24:00,s_cmh2_6101,107.6.171.228,11000,64413.0,3667,3,Rate limit SPF
2026-04-16 12:24:00,s_cmh2_6101,107.6.171.228,11000,64413.0,3667,3,Connection closed
2026-04-16 12:59:00,s_cmh2_6101,107.6.171.228,11000,58146.0,3667,3,Rate limit SPF
2026-04-16 12:59:00,s_cmh2_6101,107.6.171.228,11000,58146.0,3667,3,Connection closed
2026-04-16 13:34:00,s_cmh2_6101,107.6.171.228,11000,38877.0,3667,3,Rate limit SPF
2026-04-16 13:34:00,s_cmh2_6101,107.6.171.228,11000,38877.0,3667,3,Connection closed
2026-04-16 13:34:00,s_cmh2_6101,107.6.171.228,11000,38877.0,3667,3,Rate limit unsolicited
2026-04-16 14:09:00,s_cmh2_6101,107.6.171.228,11000,32116.0,3667,3,Rate limit unsolicited
2026-04-16 14:09:00,s_cmh2_6101,107.6.171.228,11000,32116.0,3667,3,Connection closed
2026-04-16 14:44:00,s_cmh2_6101,107.6.171.228,11000,39069.0,3667,3,Connection closed
2026-04-16 14:44:00,s_cmh2_6101,107.6.171.228,11000,39069.0,3667,3,Rate limit SPF
2026-04-16 14:44:00,s_cmh2_6101,107.6.171.228,11000,39069.0,3667,3,Connection closed
2026-04-16 14:44:00,s_cmh2_6101,107.6.171.228,11000,39069.0,3667,3,Rate limit SPF
2026-04-17 10:07:00,s_cmh2_6101,107.6.171.228,40000,40057.0,20000,2,Other
2026-04-13 22:08:00,s_cmh2_6101,107.6.171.229,69500,48149.0,13900,5,Rate limit SPF
2026-04-13 22:08:00,s_cmh2_6101,107.6.171.229,69500,48149.0,13900,5,Connection closed
2026-04-13 22:08:00,s_cmh2_6101,107.6.171.229,69500,48149.0,13900,5,Rate limit DKIM
2026-04-15 23:20:06,s_cmh2_6101,107.6.171.229,20000,5738.0,10000,2,Rate limit DKIM
2026-04-15 23:20:06,s_cmh2_6101,107.6.171.229,20000,5738.0,10000,2,Rate limit SPF
2026-04-15 23:20:06,s_cmh2_6101,107.6.171.229,20000,5738.0,10000,2,Connection closed
2026-04-15 23:45:01,s_cmh2_6101,107.6.171.229,20000,11.0,10000,2,Connection closed
2026-04-15 23:45:01,s_cmh2_6101,107.6.171.229,20000,11.0,10000,2,Rate limit SPF
2026-04-15 23:45:01,s_cmh2_6101,107.6.171.229,20000,11.0,10000,2,Rate limit DKIM
2026-04-15 23:45:01,s_cmh2_6101,107.6.171.229,20000,11.0,10000,2,Other
2026-04-17 01:00:00,s_cmh2_6101,107.6.171.229,20500,7318.0,10250,2,Rate limit SPF
2026-04-17 01:00:00,s_cmh2_6101,107.6.171.229,20500,7318.0,10250,2,Connection closed
2026-04-17 01:00:00,s_cmh2_6101,107.6.171.229,20500,7318.0,10250,2,Rate limit DKIM
2026-04-17 01:24:01,s_cmh2_6101,107.6.171.229,21000,38.0,10500,2,Rate limit DKIM
2026-04-17 01:24:01,s_cmh2_6101,107.6.171.229,21000,38.0,10500,2,Rate limit SPF
2026-04-17 01:24:01,s_cmh2_6101,107.6.171.229,21000,38.0,10500,2,Connection closed
2026-04-17 10:26:00,s_cmh2_6101,107.6.171.229,6000,5859.0,3000,2,Rate limit SPF
2026-04-17 10:26:00,s_cmh2_6101,107.6.171.229,6000,5859.0,3000,2,Rate limit DKIM
2026-04-13 23:53:00,s_cmh2_6101,107.6.171.230,46500,46497.0,15500,3,Other
2026-04-14 02:48:00,s_cmh2_6101,107.6.171.230,63000,47984.0,21000,3,Rate limit SPF
2026-04-14 02:48:00,s_cmh2_6101,107.6.171.230,63000,47984.0,21000,3,Connection closed
2026-04-14 03:23:00,s_cmh2_6101,107.6.171.230,66000,21816.0,22000,3,Rate limit SPF
2026-04-14 03:23:00,s_cmh2_6101,107.6.171.230,66000,21816.0,22000,3,Connection closed
